StartFrame,EndFrame,NativeStartFrame,NativeEndFrame,TimingSearchStartFrame,TimingSearchEndFrame,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,TimingMaxExtensionFrames,SiteID,EventID,Session,SearchLimitSec
156,165,159,161,154,166,return_crossing,return_crossing,1,0,5,34,1,M400-01-baseline-awake,5
209,222,212,218,207,223,return_crossing,return_crossing,1,0,5,34,2,M400-01-baseline-awake,5
256,265,258,264,253,269,return_crossing,return_crossing,1,0,5,34,3,M400-01-baseline-awake,5
356,379,356,374,351,379,search_limit_unresolved,return_crossing,0,0,5,34,4,M400-01-baseline-awake,5
576,580,577,579,572,584,return_crossing,return_crossing,1,0,5,34,5,M400-01-baseline-awake,5
179,187,180,184,175,189,return_crossing,return_crossing,1,0,5,35,1,M400-01-baseline-awake,5
182,193,183,189,178,194,return_crossing,return_crossing,1,0,5,36,1,M400-01-baseline-awake,5
192,198,193,196,188,201,return_crossing,return_crossing,1,0,5,37,1,M400-01-baseline-awake,5
192,196,194,196,189,201,return_crossing,search_limit_unresolved,0,0,5,38,1,M400-01-baseline-awake,5
426,428,426,428,421,433,search_limit_unresolved,search_limit_unresolved,0,0,5,38,2,M400-01-baseline-awake,5
449,454,449,454,444,459,search_limit_unresolved,search_limit_unresolved,0,0,5,39,1,M400-01-baseline-awake,5
207,213,209,211,204,216,return_crossing,return_crossing,1,0,5,40,1,M400-01-baseline-awake,5
232,234,232,234,227,239,search_limit_unresolved,search_limit_unresolved,0,0,5,41,1,M400-01-baseline-awake,5
277,291,280,290,275,295,return_crossing,return_crossing,1,0,5,42,1,M400-01-baseline-awake,5
395,408,398,404,393,409,return_crossing,return_crossing,1,0,5,42,2,M400-01-baseline-awake,5
438,441,438,441,433,446,search_limit_unresolved,search_limit_unresolved,0,0,5,42,3,M400-01-baseline-awake,5
461,464,461,463,456,468,search_limit_unresolved,return_crossing,0,0,5,42,4,M400-01-baseline-awake,5
568,576,572,574,567,579,return_crossing,return_crossing,1,0,5,42,5,M400-01-baseline-awake,5
264,279,269,279,264,284,return_crossing,search_limit_unresolved,0,0,5,43,1,M400-01-baseline-awake,5
295,311,297,311,292,316,return_crossing,search_limit_unresolved,0,0,5,44,1,M400-01-baseline-awake,5
307,311,307,309,302,314,search_limit_unresolved,return_crossing,0,0,5,45,1,M400-01-baseline-awake,5
351,360,351,358,346,363,search_limit_unresolved,return_crossing,0,0,5,46,1,M400-01-baseline-awake,5
339,341,339,341,334,346,search_limit_unresolved,search_limit_unresolved,0,0,5,47,1,M400-01-baseline-awake,5
370,374,370,372,365,377,search_limit_unresolved,return_crossing,0,0,5,48,1,M400-01-baseline-awake,5
421,428,421,428,416,433,search_limit_unresolved,search_limit_unresolved,0,0,5,49,1,M400-01-baseline-awake,5
404,409,404,406,399,411,search_limit_unresolved,return_crossing,0,0,5,50,1,M400-01-baseline-awake,5
411,417,411,413,406,418,search_limit_unresolved,return_crossing,0,0,5,51,1,M400-01-baseline-awake,5
412,414,412,414,407,419,search_limit_unresolved,search_limit_unresolved,0,0,5,52,1,M400-01-baseline-awake,5
454,458,456,458,451,463,return_crossing,search_limit_unresolved,0,0,5,53,1,M400-01-baseline-awake,5
467,472,468,470,463,475,return_crossing,return_crossing,1,0,5,54,1,M400-01-baseline-awake,5
486,490,488,490,483,495,return_crossing,search_limit_unresolved,0,0,5,55,1,M400-01-baseline-awake,5
549,567,549,567,544,572,search_limit_unresolved,return_crossing,0,1,5,56,1,M400-01-baseline-awake,5
5,8,5,8,1,18,seed_not_below_return_level,seed_not_below_return_level,0,1,10,1,1,M400-01-baseline-awake,10
431,440,436,440,426,450,return_crossing,search_limit_unresolved,0,0,10,1,2,M400-01-baseline-awake,10
578,600,582,600,572,600,return_crossing,recording_boundary_unresolved,0,1,10,1,3,M400-01-baseline-awake,10
2,8,2,8,1,18,seed_not_below_return_level,return_crossing,0,1,10,2,1,M400-01-baseline-awake,10
31,44,35,39,25,49,return_crossing,return_crossing,1,0,10,2,2,M400-01-baseline-awake,10
277,291,287,289,277,299,return_crossing,return_crossing,1,0,10,2,3,M400-01-baseline-awake,10
4,17,4,16,1,26,seed_not_below_return_level,return_crossing,0,1,10,3,1,M400-01-baseline-awake,10
242,257,244,256,234,266,return_crossing,return_crossing,1,0,10,3,2,M400-01-baseline-awake,10
456,461,457,461,447,471,return_crossing,return_crossing,1,0,10,3,3,M400-01-baseline-awake,10
17,53,18,46,8,56,return_crossing,return_crossing,0,1,10,4,1,M400-01-baseline-awake,10
219,227,219,227,209,237,return_crossing,seed_not_below_return_level,0,1,10,4,2,M400-01-baseline-awake,10
252,332,252,332,242,342,seed_not_below_return_level,seed_not_below_return_level,0,1,10,4,3,M400-01-baseline-awake,10
403,408,405,408,395,418,return_crossing,return_crossing,1,0,10,4,4,M400-01-baseline-awake,10
481,486,482,486,472,496,return_crossing,return_crossing,1,0,10,4,5,M400-01-baseline-awake,10
546,550,546,549,536,559,return_crossing,return_crossing,1,0,10,4,6,M400-01-baseline-awake,10
580,600,580,600,570,600,seed_not_below_return_level,seed_not_below_return_level,0,1,10,4,7,M400-01-baseline-awake,10
14,37,23,33,13,43,return_crossing,return_crossing,1,0,10,5,1,M400-01-baseline-awake,10
90,108,90,108,80,118,seed_not_below_return_level,return_crossing,0,1,10,5,2,M400-01-baseline-awake,10
28,40,28,30,18,40,search_limit_unresolved,return_crossing,0,0,10,6,1,M400-01-baseline-awake,10
123,131,125,128,115,138,return_crossing,return_crossing,1,0,10,6,2,M400-01-baseline-awake,10
11,14,11,13,1,23,return_crossing,return_crossing,1,0,10,7,1,M400-01-baseline-awake,10
95,105,102,104,92,114,return_crossing,return_crossing,1,0,10,7,2,M400-01-baseline-awake,10
122,131,124,130,115,140,return_crossing,return_crossing,1,0,10,7,3,M400-01-baseline-awake,10
194,208,199,208,189,218,return_crossing,return_crossing,1,0,10,7,4,M400-01-baseline-awake,10
241,254,245,254,235,264,return_crossing,return_crossing,1,0,10,7,5,M400-01-baseline-awake,10
335,347,335,347,325,357,search_limit_unresolved,return_crossing,0,0,10,7,6,M400-01-baseline-awake,10
394,401,394,399,384,409,search_limit_unresolved,return_crossing,0,0,10,7,7,M400-01-baseline-awake,10
557,570,567,570,557,580,return_crossing,return_crossing,1,0,10,7,8,M400-01-baseline-awake,10
155,167,157,160,147,170,return_crossing,return_crossing,1,0,10,8,1,M400-01-baseline-awake,10
229,240,232,234,222,244,return_crossing,return_crossing,1,0,10,8,2,M400-01-baseline-awake,10
486,500,488,500,478,510,return_crossing,return_crossing,1,0,10,8,3,M400-01-baseline-awake,10
220,243,225,242,215,252,return_crossing,return_crossing,1,0,10,9,1,M400-01-baseline-awake,10
354,374,361,371,351,381,return_crossing,return_crossing,1,0,10,9,2,M400-01-baseline-awake,10
451,460,454,458,444,468,return_crossing,return_crossing,1,0,10,9,3,M400-01-baseline-awake,10
18,41,28,39,18,49,return_crossing,return_crossing,1,0,10,10,1,M400-01-baseline-awake,10
94,106,98,103,88,113,return_crossing,return_crossing,1,0,10,10,2,M400-01-baseline-awake,10
220,233,226,232,216,242,return_crossing,return_crossing,1,0,10,10,3,M400-01-baseline-awake,10
394,402,394,399,384,409,search_limit_unresolved,return_crossing,0,0,10,10,4,M400-01-baseline-awake,10
446,461,448,451,438,461,return_crossing,return_crossing,1,0,10,10,5,M400-01-baseline-awake,10
