Session,SinkID,EventID,NativeStartFrame,NativeEndFrame,StartFrame,EndFrame,DurationSec,TimingSearchStartFrame,TimingSearchEndFrame,TimingMaxExtensionFrames,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,BaselineStatus,BaselineValidSamples,NormOxySinkAmp,EventArea_um2
M400-01-baseline-awake,46,1,351,358,342,360,19,331,378,20,return_crossing,return_crossing,1,0,valid,20,0.15676518520653,7812.265625
M400-01-baseline-awake,47,1,339,341,331,349,19,319,361,20,return_crossing,return_crossing,1,0,valid,20,0.0871107283178816,8257.875
M400-01-baseline-awake,48,1,370,372,355,374,20,350,392,20,return_crossing,return_crossing,1,0,valid,20,0.125556365028636,11063.1458333333
M400-01-baseline-awake,49,1,421,428,421,435,15,401,448,20,search_limit_unresolved,return_crossing,0,0,valid,20,0.000686004429319714,20664.4296875
M400-01-baseline-awake,50,1,404,406,394,409,16,384,426,20,return_crossing,return_crossing,1,0,valid,20,0.108104597920311,3346.77083333333
M400-01-baseline-awake,51,1,411,413,404,417,14,391,433,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,16,NaN,5339.79166666667
M400-01-baseline-awake,52,1,412,414,404,426,23,392,434,20,return_crossing,return_crossing,1,0,valid,20,0.113668069641335,4121.41666666667
M400-01-baseline-awake,53,1,456,458,454,468,15,436,478,20,return_crossing,return_crossing,1,0,valid,20,0.086379781379886,3918.35416666667
M400-01-baseline-awake,54,1,468,470,467,472,6,448,490,20,return_crossing,return_crossing,1,0,valid,20,0.0724001151631924,5415
M400-01-baseline-awake,55,1,488,490,486,499,14,468,510,20,return_crossing,return_crossing,1,0,valid,20,0.100446715729983,3489.66666666667
M400-01-baseline-awake,56,1,549,567,535,567,33,529,587,20,return_crossing,return_crossing,0,1,valid,20,0.0349744484005919,10597.25
M400-03-baseline-iso,1,1,7,9,6,11,6,1,29,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,5,NaN,4023.64583333333
M400-03-baseline-iso,2,1,573,575,572,578,7,553,595,20,return_crossing,return_crossing,1,0,valid,20,0.0389205206808102,6377.66666666667
M400-03-baseline-iso,3,1,39,43,26,43,18,19,63,20,return_crossing,seed_not_below_return_level,0,1,valid,20,0.0380354934077002,15374.0875
M400-03-baseline-iso,3,2,173,176,165,176,12,153,196,20,return_crossing,seed_not_below_return_level,0,1,valid,20,0.0517691789939027,7180.515625
M400-03-baseline-iso,3,3,246,248,246,250,5,226,268,20,seed_not_below_return_level,return_crossing,0,1,valid,20,0.049557046825658,9175.41666666667
M400-03-baseline-iso,3,4,296,298,296,298,3,276,318,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0467138795902232,4399.6875
M400-03-baseline-iso,3,5,356,360,352,360,9,336,380,20,return_crossing,return_crossing,1,0,valid,20,0.056327625727014,3998.075
M400-03-baseline-iso,3,6,501,503,500,504,5,481,523,20,return_crossing,return_crossing,1,0,valid,20,0.0683728789807051,3391.89583333333
M400-03-baseline-iso,3,7,565,569,565,569,5,545,589,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0580871580437048,4977.2875
M400-03-baseline-iso,4,1,11,13,10,13,4,1,33,20,return_crossing,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,9,NaN,3414.45833333333
M400-03-baseline-iso,4,2,254,258,250,258,9,234,268,20,return_crossing,return_crossing,1,0,valid,20,0.0539632035269093,14868.6875
M400-03-baseline-iso,4,3,278,280,278,282,5,269,300,20,seed_not_below_return_level,return_crossing,0,1,insufficient_clean_prebaseline,18,NaN,6776.27083333333
M400-03-baseline-iso,4,4,364,366,364,367,4,344,386,20,seed_not_below_return_level,return_crossing,0,1,valid,20,0.0381112909568774,7069.58333333333
M400-03-baseline-iso,4,5,593,595,593,595,3,573,600,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0382822823981473,8167.625
M400-03-baseline-iso,5,1,497,499,490,499,10,477,519,20,return_crossing,search_limit_unresolved,0,0,insufficient_clean_prebaseline,18,NaN,10198.25
M400-03-baseline-iso,6,1,14,16,13,16,4,1,36,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,12,NaN,6956.77083333333
M400-03-baseline-iso,6,2,185,190,185,195,11,165,210,20,search_limit_unresolved,return_crossing,0,0,insufficient_clean_prebaseline,18,NaN,5633.10416666667
