Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,5.08182676805764,-7.77450895783343,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,quadratic,25,39,1,0,NaN,0,0.0510172244105511,-5.6799836749146,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,resolved,54,9,68,34,53,2194.33785103785,0.25502174185416,provisional_valid,25.6661399229206,57.889330481666,57.889330481666,pulse,resolved,NaN,NaN,2,0.2,7,gamma,10,54,1,0,0,1,0.085577413455536,-9.64015886927021,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.25502174185416,0.25502174185416,34,53,2194.33785103785,65,2753.94171202604,2179.74212454212,2208.93357753358,0.0133030804612183,0.263425467177468,0.246729073266658,1,0.0746495016839597,0.180372240170201,0,0,0,0
FB2316-baseline,10,additional,selection,64,79,resolved,39,9,68,19,38,2120.22414529914,0.166419705683586,provisional_valid,64.5066553793851,89.9210758090573,89.9210758090573,pulse,resolved,NaN,NaN,1,0.2,7,gamma,25,39,1,0,0,1,0.130719710438119,-12.6956174731773,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.166419705683586,0.166419705683586,19,38,2120.22414529914,67,2473.07122354306,2080.70482295482,2159.74346764347,0.037278438161307,0.188573793004928,0.145076376242717,1,0.126148010331861,0.0402716953517253,0,0,0,0
FB2316-baseline,10,additional,selection,64,79,resolved,54,9,68,34,53,2194.33785103785,0.310068698844016,provisional_valid,47.6154830685977,63.1397090085234,63.1397090085234,pulse,resolved,NaN,NaN,2,0.2,7,exponential,10,54,1,0,0,1,0.0867407106045253,-10.1888623214713,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.310068698844016,0.310068698844016,34,53,2194.33785103785,70,2874.73333333333,2179.74212454212,2208.93357753358,0.0133030804612183,0.318841022966053,0.30141230255695,1,0.0917239157033471,0.218344783140669,0,0,0,-1.11022302462516e-16
FB2316-baseline,10,additional,selection,64,79,resolved,38,9,68,18,37,2112.18888888889,0.23384839068383,provisional_valid,50.2470779385319,94.1358959474082,94.1358959474082,pulse,resolved,NaN,NaN,1,0.2,7,exponential,25,39,1,0,-1,1,0.182465020275995,-17.8573479121038,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.23384839068383,0.23384839068383,18,37,2112.18888888889,65,2606.12086137582,2071.6474969475,2152.73028083028,0.0383880363680149,0.25799435725231,0.210611884165384,1,0.116445641083063,0.117402749600767,0,0,0,-1.11022302462516e-16
FB2316-baseline,10,additional,selection,64,79,resolved,57,9,68,37,56,2219.53910044604,0.295193823238179,provisional_valid,59.1001522530478,64.3118035741662,64.3118035741662,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,54,1,0,3,1,0.0599634268650207,-7.22144684042989,0.00293489541429559,-0.380125841244583,3,1,0,0,NaN,positive_raw_change_provisional,1,1,0.295193823238179,0.295193823238179,37,56,2219.53910044604,70,2874.73333333333,2190.71166056166,2248.36654033042,0.0259760595148655,0.312237199027964,0.278587490859415,1,0.0824959013755204,0.216499180275104,-0.00380125841244583,0.00293489541429559,3,-1.11022302462516e-16
FB2316-baseline,10,additional,selection,64,79,resolved,41,9,68,21,40,2138.29560240213,0.133076103056027,provisional_valid,67.2851439786192,89.1579365668809,89.1579365668809,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,39,1,0,2,1,0.163800781961387,-15.1424182937642,0.00105283236642628,-0.119293919492147,2,1,0,0,NaN,positive_raw_change_provisional,1,1,0.133076103056027,0.133076103056027,21,40,2138.29560240213,77,2422.85164835165,2099.08791208791,2177.50329271635,0.0366719084771775,0.154240198516363,0.112674160565439,1,0.134269042250949,0,-0.00119293919492147,0.00105283236642628,2,0
FB2316-baseline,10,additional,selection,64,79,resolved,54,9,68,34,53,2194.33785103785,0.324762744368723,provisional_valid,53.2346033577768,39.5652753099907,53.2346033577768,rising,resolved,NaN,NaN,2,0.2,23,gamma,10,54,1,0,0,1,0.0492813127136909,-6.06265730130116,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.324762744368723,0.324762744368723,34,53,2194.33785103785,77,2906.97703361307,2179.74212454212,2208.93357753358,0.0133030804612183,0.333633460987367,0.31600925585952,1,0.104137928079633,0.22062481628909,0,0,0,-5.55111512312578e-17
FB2316-baseline,10,additional,selection,64,79,resolved,39,9,68,19,38,2120.22414529914,0.344924887416706,provisional_valid,0.810121476481005,17.289472732284,17.289472732284,pulse,resolved,NaN,NaN,1,0.2,23,gamma,25,39,1,0,0,1,0.175488366225906,-18.9034421043323,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.344924887416706,0.344924887416706,19,38,2120.22414529914,67,2851.54221991463,2080.70482295482,2159.74346764347,0.037278438161307,0.370469366176188,0.320315242358853,1,0.126148010331861,0.218776877084845,0,0,0,5.55111512312578e-17
FB2316-baseline,10,additional,selection,64,79,resolved,53,9,68,33,52,2189.38617216117,0.327962154411537,provisional_valid,51.1126198270598,37.7747932498391,51.1126198270598,rising,resolved,NaN,NaN,2,0.2,23,exponential,10,54,1,0,-1,1,0.0512935027482266,-6.29908597405402,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.327962154411537,0.327962154411537,33,52,2189.38617216117,77,2907.42197802198,2179.01324786325,2199.7590964591,0.00947564612384948,0.334283754755971,0.32170017285165,1,0.106635128676281,0.221327025735256,0,0,0,-1.11022302462516e-16
FB2316-baseline,10,additional,selection,64,79,resolved,39,9,68,19,38,2120.22414529914,0.355862935391548,provisional_valid,1.25185431927118,11.7066801668375,11.7066801668375,pulse,resolved,NaN,NaN,1,0.2,23,exponential,25,39,1,0,0,1,0.17437577481081,-18.9542987291215,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.355862935391548,0.355862935391548,19,38,2120.22414529914,70,2874.73333333333,2080.70482295482,2159.74346764347,0.037278438161307,0.381615163101754,0.331053144228284,1,0.129885779492956,0.225977155898591,0,0,0,0
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,6.13974717544397,-10.0736899078103,NaN,none,no_model_evidence,NaN,NaN,0,0.2,23,quadratic,10,54,1,0,NaN,0,0.00744771403463895,-0.954420230107966,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,resolved,50,9,68,30,49,2200.95862899335,0.306127836963542,provisional_valid,54.4944364343767,48.2089810699136,54.4944364343767,rising,resolved,NaN,NaN,2,0.2,23,quadratic,25,39,1,0,11,0,0.102034448821102,-11.8189884168083,0.0096269289012465,-1.25739998223868,11,1,0,0,NaN,positive_raw_change_provisional,1,1,0.306127836963542,0.306127836963542,30,49,2200.95862899335,70,2874.73333333333,2167.81664150804,2234.10061647867,0.0301159567914937,0.326096164357114,0.286751953841905,1,0.0989181973216073,0.219783639464321,-0.0125739998223868,0.0096269289012465,11,1.11022302462516e-16
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,gamma,10,1110,1,0,NaN,0,0.00838344266321456,-0.846495537185943,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,gamma,25,1095,1,0,NaN,0,0.0131769605276171,-1.31837313928114,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,exponential,10,1110,1,1,NaN,0,0.00849772612118493,-0.863630503111024,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,exponential,25,1095,1,0,NaN,0,0.0182896215430723,-1.82640777236666,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,quadratic,10,1110,1,0,NaN,0,0.00585056072795576,-0.595808505508999,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,7,quadratic,25,1095,1,0,NaN,0,0.016454927199357,-1.63934909592642,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,gamma,10,1110,1,1,NaN,0,0.00481887414882531,-0.495326072438873,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,gamma,25,1095,1,1,NaN,0,0.0174937075036274,-1.76997847626015,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,exponential,10,1110,1,1,NaN,0,0.0050168244331128,-0.51560764522105,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,exponential,25,1095,1,1,NaN,0,0.017385346787586,-1.76083664801225,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,quadratic,10,1110,1,0,NaN,0,0.000726224945930554,-0.0749582880684274,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,11,additional,selection,1120,1141,insufficient_clean_context,NaN,1120,1124,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0.02,23,quadratic,25,1095,1,0,NaN,0,0.010068915698161,-1.02474054051565,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
