Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ReviewCase,OracleFailureMechanism
FB2312-baseline-awake,21,development,selection,251,265,resolved,248,207,255,228,247,5606.58721815654,0.263369398123607,provisional_valid,19.3221647124403,7.16235668793787,19.3221647124403,rising,resolved,NaN,NaN,1,0.1,23,exponential,10,241,1,0,7,0,0.0252089293514255,-3.12615809419972,0.0144318864276201,-1.82328036698509,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.263369398123607,0.263369398123607,228,247,5606.58721815654,262,7083.19071932994,5506.13704500628,5707.0373913068,0.0358329119807365,0.286417439564813,0.241132698748277,1,0.165866617840374,0.115735583953085,-0.0182328036698509,0.0144318864276201,7,1.66533453693773e-16,21,reference_contamination_above_one_percent
FB2312-baseline-awake,21,development,selection,251,265,resolved,241,207,255,221,240,5589.72163212872,0.253477256141419,provisional_valid,13.6032085720361,1.22484276033618,13.6032085720361,rising,resolved,NaN,NaN,1,0.1,23,quadratic,25,226,1,0,15,0,0.0504120799728924,-6.03561498755893,0.0116751688741565,-1.46345586453656,15,0,0,0,NaN,positive_raw_change_provisional,1,1,0.253477256141419,0.253477256141419,221,240,5589.72163212872,262,7006.58893403504,5519.17103912923,5660.27222512821,0.0252429718839589,0.269500235517341,0.237853703030394,1,0.166206527919004,0.101905286867781,-0.0146345586453656,0.0116751688741565,15,1.11022302462516e-16,22,reference_contamination_above_one_percent
FB2312-baseline-awake,21,development,selection,251,265,resolved,232,207,255,212,231,5692.27069185354,0.190253942892021,provisional_valid,24.0606242023552,26.7956418578845,26.7956418578845,pulse,resolved,NaN,NaN,1,0.2,7,exponential,25,226,1,0,6,0,0.182900651907664,-18.8032160471335,0.0433501230911384,-5.1597654934082,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.190253942892021,0.190253942892021,212,231,5692.27069185354,262,6775.24763498737,5451.46275177814,5933.07863192895,0.0846087451252228,0.242831134226763,0.141944689309573,1,0.181052179141765,0.0607994186843379,-0.051597654934082,0.0433501230911384,6,5.55111512312578e-17,23,reference_contamination_above_one_percent
FB2312-baseline-awake,21,development,selection,251,265,resolved,232,207,255,212,231,5551.9687950877,0.160586572393239,provisional_valid,21.856019053088,59.9574977302513,59.9574977302513,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,226,1,0,6,0,0.16476003628463,-16.3598740659865,0.017633847603737,-2.0465606748526,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.160586572393239,0.160586572393239,212,231,5551.9687950877,262,6443.54043392505,5451.46275177814,5652.47483839726,0.0362055505061505,0.181983758730319,0.139950308164857,1,0.181052179141765,0,-0.020465606748526,0.017633847603737,6,0,24,reference_contamination_above_one_percent
FB2312-baseline-awake,21,development,selection,251,265,resolved,240,207,255,220,239,5647.56634313516,0.340336168577502,provisional_valid,34.7344277627265,23.2625931259832,34.7344277627265,rising,resolved,NaN,NaN,2,0.2,23,quadratic,25,226,1,0,14,0,0.100824159945785,-12.4440491746997,0.0192360904961779,-2.57828278340573,14,0,0,0,NaN,positive_raw_change_provisional,1,1,0.340336168577502,0.340336168577502,220,239,5647.56634313516,262,7569.63743414503,5564.82058384315,5730.31210242716,0.0293031561789752,0.36026621525277,0.320981702015636,1,0.162888324244452,0.203230672167107,-0.0257828278340573,0.0192360904961779,14,1.11022302462516e-16,25,reference_contamination_above_one_percent
FB2312-baseline-awake,22,development,selection,355,370,resolved,343,321,359,323,342,5890.38626309047,0.391946763357393,provisional_valid,15.4956880937721,3.11870879426324,15.4956880937721,rising,resolved,NaN,NaN,1,0.2,23,quadratic,25,330,1,0,13,0,0.101195841138223,-12.6179088612961,0.015429791595875,-2.14774484711575,13,0,0,0,NaN,positive_raw_change_provisional,1,1,0.391946763357393,0.391946763357393,323,342,5890.38626309047,359,8199.10409383363,5692.12287593559,6088.64965024534,0.0673176183359007,0.440429919125029,0.346621100707156,1,0.177853509857126,0.235570701971425,-0.0214774484711575,0.015429791595875,13,5.55111512312578e-17,26,reference_contamination_above_one_percent
FB2312-baseline-awake,25,development,selection,366,378,resolved,355,326,370,335,354,5601.43730736563,0.315176588379146,provisional_valid,18.4485994171035,22.3332605275589,22.3332605275589,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,341,1,0,14,0,0.102536023476725,-11.9064522576285,0.0191251669689243,-2.51529718463714,14,0,0,0,NaN,positive_raw_change_provisional,1,1,0.315176588379146,0.315176588379146,335,354,5601.43730736563,366,7366.87920792079,5418.45822562029,5784.41638911096,0.065332903576275,0.359589555030195,0.273573462275085,1,0.116941300187931,0.223388260037586,-0.0251529718463714,0.0191251669689243,14,5.55111512312578e-17,27,reference_contamination_above_one_percent
FB2312-baseline-awake,37,development,selection,730,739,resolved,722,677,734,702,721,4902.84101361379,0.157835151738375,provisional_valid,13.015367533975,4.79503564736157,13.015367533975,rising,resolved,NaN,NaN,1,0.1,23,quadratic,25,705,1,0,17,0,0.0500867423126472,-5.65622006206838,0.016376707905569,-1.89615280828195,17,0,0,0,NaN,positive_raw_change_provisional,1,1,0.157835151738375,0.157835151738375,702,721,4902.84101361379,736,5676.68166894665,4912.66068964977,4893.02133757781,-0.00400570853050881,0.155520811951568,0.160158780700674,1,0.0698151634738136,0.106981516347381,-0.0189615280828195,0.016376707905569,17,-5.55111512312578e-17,28,reference_contamination_above_one_percent
FB2312-baseline-awake,37,development,selection,730,739,resolved,723,677,734,703,722,4989.68697351331,0.241108645036,provisional_valid,44.0853036739308,50.6944266468782,50.6944266468782,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,705,1,0,18,0,0.100173484625294,-11.7790117784171,0.0386060221586484,-4.79142678515501,18,0,0,0,NaN,positive_raw_change_provisional,1,1,0.241108645036,0.241108645036,703,722,4989.68697351331,736,6192.74363885089,4959.42744744944,5019.94649957719,0.0121288274092153,0.248681164200865,0.233627418015805,1,0.0741857607396252,0.214837152147925,-0.0479142678515501,0.0386060221586484,18,0,29,reference_contamination_above_one_percent
FB2312-baseline-awake,38,development,selection,824,833,resolved,814,764,828,794,813,2659.47977815188,0.0949491746581206,provisional_valid,11.6225012525559,-2.2869549182509,11.6225012525559,rising,resolved,NaN,NaN,1,0.02,7,gamma,25,799,1,0,15,0,0.0130812634069275,-1.42255903100641,0.0121917530657782,-1.33493499570094,15,0,1,1,0,positive_raw_change_provisional,1,1,0.0949491746581206,0.0949491746581206,794,813,2659.47977815188,827,2911.99518810736,2686.601227352,2632.35832895176,-0.0203960559677303,0.0838955772299419,0.106230544709676,1,0.104349308481458,0.00394921613367228,-0.0133493499570094,0.0121917530657782,15,0,30,reference_contamination_above_one_percent
