AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,35,insufficient_clean_context,none,NaN,NaN,NaN,NaN,277,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,36,no_model_evidence,none,NaN,2.00378038959132,-14.4181286051998,NaN,254,305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,37,no_model_evidence,none,NaN,4.25157924022512,-9.56857768678619,NaN,260,324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,38,no_model_evidence,none,NaN,-0.576195051583292,-13.2980444441963,NaN,265,329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,39,insufficient_clean_context,none,NaN,NaN,NaN,NaN,311,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,40,no_model_evidence,none,NaN,-0.183467988836623,-19.2039570158243,NaN,314,378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,41,no_model_evidence,none,NaN,8.56924959988644,-13.0374670653307,NaN,354,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.0487117755377853,0.0487117755377853,337,356,91.3093045112782,391,95.7571428571429,95.5313157894737,87.0872932330827,-0.0924771314554039,0.00236390617885807,0.0995535548550801,1,positive_raw_change_provisional,1,1,0.0487117755377853,0.0487117755377853,391,95.7571428571429,33,0,0,0,0,42,resolved,rising,357,71.4142147589183,59.8470003115044,71.4142147589183,330,394,0,0,0.0487117755377853,0,0,0,0,0,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,43,insufficient_clean_context,none,NaN,NaN,NaN,NaN,390,409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,44,insufficient_clean_context,none,NaN,NaN,NaN,NaN,410,415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,45,insufficient_clean_context,none,NaN,NaN,NaN,NaN,434,443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,46,no_model_evidence,none,NaN,-6.75717410653161,-17.4469183949991,NaN,401,444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,47,no_model_evidence,none,NaN,8.70987288969703,-4.14625362468327,NaN,473,537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.022251962935798,0.022251962935798,391,410,87.6580430327869,447,89.608606557377,89.0194672131147,86.296618852459,-0.0310621623122167,0.00661809559982984,0.0383791132139313,1,positive_raw_change_provisional,1,1,0.0368859524804439,0.0368859524804439,444,90.891393442623,36,0,0,1,0.0146339895446459,48,resolved,rising,411,31.6958333971677,17.7863772263608,31.6958333971677,387,451,0,0,0.0368859524804439,0,0,0,0,0,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,49,best_model_unresolved,none,NaN,28.3189043308709,21.4039932939786,21.4039932939786,408,472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,50,no_model_evidence,none,NaN,4.73437811292489,-8.48115297238721,NaN,499,563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,51,insufficient_clean_context,none,NaN,NaN,NaN,NaN,568,584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,52,no_model_evidence,none,NaN,-8.45417684614069,-20.227849150469,NaN,530,594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
