EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
72,sink,20,4,483,485,956,0.0878317587485764,valid
73,sink,21,4,504,507,1391,NaN,insufficient_clean_prebaseline
74,sink,22,4,546,549,1095,0.0721335432811552,valid
75,sink,23,4,573,575,1867,0.0708461459295439,valid
76,sink,24,4,580,600,16258,NaN,insufficient_clean_prebaseline
77,sink,25,5,28,30,1045,NaN,insufficient_clean_prebaseline
78,sink,26,5,125,128,2374,NaN,insufficient_clean_prebaseline
79,sink,27,6,11,13,652,NaN,insufficient_clean_prebaseline
80,sink,28,6,97,99,1228,0.0833907299321313,valid
81,sink,29,6,102,104,1122,NaN,insufficient_clean_prebaseline
82,sink,30,6,124,130,2780,NaN,insufficient_clean_prebaseline
83,sink,31,6,199,208,4880,0.0922282455470421,valid
84,sink,32,6,245,254,3217,0.0681189664934072,valid
85,sink,33,6,335,347,4270,0.0873433949810233,valid
86,sink,34,6,387,390,708,0.116386311872538,valid
87,sink,35,6,394,399,2083,NaN,insufficient_clean_prebaseline
88,sink,36,6,567,569,1955,0.067267849367213,valid
89,sink,37,7,232,234,885,0.128313550939664,valid
90,sink,38,7,488,500,5156,NaN,insufficient_clean_prebaseline
91,sink,39,8,225,242,20796,0.132497934453319,valid
92,sink,40,8,356,372,7373,0.146167455049624,valid
93,sink,41,8,454,458,1157,0.0877194758905609,valid
94,sink,42,9,28,39,8284,NaN,insufficient_clean_prebaseline
95,sink,43,9,98,103,2289,0.0641619192083891,valid
96,sink,44,9,226,232,3004,0.116385424343986,valid
97,sink,45,9,241,244,2896,NaN,insufficient_clean_prebaseline
98,sink,46,9,248,254,3503,NaN,insufficient_clean_prebaseline
99,sink,47,9,394,399,3511,0.0808419486484134,valid
100,sink,48,9,448,451,891,0.0438264573439649,valid
101,sink,49,9,455,457,1057,NaN,insufficient_clean_prebaseline
102,sink,50,9,592,596,1860,0.0711012221041446,valid
103,sink,51,10,85,96,8142,NaN,insufficient_clean_prebaseline
104,sink,52,10,399,401,586,0.0835087569323486,valid
105,sink,53,10,472,475,1588,0.0570588705663876,valid
106,sink,54,10,533,536,1137,0.0674662822756159,valid
107,sink,55,11,41,43,942,0.0529127304922874,valid
108,sink,56,11,465,473,5454,0.0785580433815112,valid
109,sink,57,12,109,124,18496,0.104949694178728,valid
110,sink,58,12,126,139,9510,NaN,insufficient_clean_prebaseline
111,sink,59,12,312,324,6080,0.108689728025791,valid
112,sink,60,12,351,355,1493,0.151227600014599,valid
