Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,Case,EventRow,TraceKind,LocalRow,IsPreselectedMatch,NativeStartFrame,NativeEndFrame,StoredAmplitude,StoredBaselineStatus,OnsetOffsetFromImposedStart,NativeBaselineImposedFraction,ProposedBaselineImposedFraction,ProposedBaselinePositiveFrames,CounterfactualPeakFraction,BaselineEffectPercentagePoints
overlapping_detection_in_fit,NaN,NaN,137,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,25,constructed,74,0,197,206,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,137,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,25,source,74,0,197,206,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,264,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,26,constructed,77,0,324,334,0.0374478557662154,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,264,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,26,source,77,0,324,334,0.0374478557662154,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,474,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,27,constructed,80,0,534,543,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,474,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,27,source,80,0,534,543,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,162,114,178,-4.10847637812855,139,167,28,-0.000517572524365244,0.00662692131639966,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,28,constructed,83,0,174,185,0.126692888480028,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,162,114,178,-4.10847637812855,139,167,28,-0.000517572524365244,0.00662692131639966,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,28,source,83,0,174,185,0.126692888480028,valid,NaN,NaN,NaN,NaN,NaN,NaN
resolved,407,407,386,450,14.1711240239661,406,409,3,-0.0108398943421351,0.00394705162565697,387,406,40.831985940246,0.124544836313239,provisional_valid,M400-01-baseline-awake,growing_clean,29,constructed,86,0,446,456,0.101184235620636,valid,NaN,0,0,0,0.124544836313239,0
resolved,407,407,386,450,14.1711240239661,406,409,3,-0.0108398943421351,0.00394705162565697,387,406,40.831985940246,0.124544836313239,provisional_valid,M400-01-baseline-awake,growing_clean,29,source,86,0,446,456,0.101184235620636,valid,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,181,136,200,-6.02036248112533,156,196,40,0.000508711276575706,-0.00083388543963774,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,30,constructed,89,0,196,206,0.0573180901261261,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,181,136,200,-6.02036248112533,156,196,40,0.000508711276575706,-0.00083388543963774,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,30,source,89,0,196,206,0.0573180901261261,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,149,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,31,constructed,92,0,209,219,0.0576482929073408,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,149,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,31,source,92,0,209,219,0.0576482929073408,valid,NaN,NaN,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,223,181,245,6.31785797093337,221,225,4,-0.00065918689768223,0.00139039440599882,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,32,constructed,95,0,241,251,0.0367361835874108,valid,NaN,0,NaN,NaN,NaN,NaN
insufficient_improvement,NaN,223,181,245,6.31785797093337,221,225,4,-0.00065918689768223,0.00139039440599882,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,32,source,95,0,241,251,0.0367361835874108,valid,NaN,NaN,NaN,NaN,NaN,NaN
