Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-01-baseline-awake,sink,81,481,499,483,486,0.0918840842944683,0.0890496383137939,valid,valid
M400-01-baseline-awake,sink,82,537,542,537,542,0.0728090886698026,0.0728090886698026,valid,valid
M400-01-baseline-awake,sink,83,467,481,471,478,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,84,40,64,54,56,0.0728202590326237,0.0413875605677423,valid,valid
M400-01-baseline-awake,sink,85,23,61,55,57,0.138866786219018,0.0797602431084201,valid,valid
M400-01-baseline-awake,sink,86,45,84,71,76,0.104318269691322,0.0299099210936713,valid,valid
M400-01-baseline-awake,sink,87,355,378,369,371,0.0990851725012684,0.029728334799516,valid,valid
M400-01-baseline-awake,sink,88,482,521,488,512,0.0766592391436327,0.0650978982380606,valid,valid
M400-01-baseline-awake,sink,89,129,154,136,146,0.0869282610926754,0.0911198013928861,valid,valid
M400-01-baseline-awake,sink,90,213,251,216,223,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,91,213,271,245,257,NaN,0.0392733581552427,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,92,345,392,357,368,NaN,0.0715949568167365,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,93,500,531,500,531,0.0988866801166102,0.0988866801166102,valid,valid
M400-01-baseline-awake,sink,94,553,559,553,557,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,95,58,73,61,63,0.0614797261716694,0.059189628255192,valid,valid
M400-01-baseline-awake,sink,96,511,546,519,545,0.0880999259292086,0.0896620415912349,valid,valid
M400-01-baseline-awake,sink,97,82,109,94,96,0.0519212302187609,0.0193520272729927,valid,valid
M400-01-baseline-awake,sink,98,431,462,449,461,0.0837037339890545,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,99,94,112,102,105,0.0690906109733353,0.0664130693948471,valid,valid
M400-01-baseline-awake,sink,100,519,547,542,545,0.0838620566130022,0.0296406961705512,valid,valid
M400-01-baseline-awake,sink,101,255,291,285,287,NaN,0.065116941600422,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,102,116,152,137,142,0.0781060368894817,0.0335428111168426,valid,valid
M400-01-baseline-awake,sink,103,138,151,141,143,0.0468363536031374,0.0512025738611841,valid,valid
M400-01-baseline-awake,sink,104,87,165,142,145,NaN,0.0223563614322694,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,105,129,163,138,147,0.104565010121081,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,106,155,166,159,161,0.113686494490748,0.0850363798992557,valid,valid
M400-01-baseline-awake,sink,107,208,223,212,218,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
