RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,NativeFilteredMean,NativeZMean,RawExtremeFrame,RawChangeAtExtremePercent,CubicTrendContributionPercent,ResidualContributionPercent,DetrendedChangeAtRawExtreme,SpatialZChangeAtRawExtreme,TemporalZChangeAtRawExtreme,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,5,22,854,900,860,869,1926,20,18,0,2,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.322505174512662,-0.367197221221801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,6,23,854,900,890,898,2198,20,18,0,2,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.25652111894741,-0.275015891245631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,7,24,943,955,945,953,1741,20,20,0,0,0,4419.82030442274,4419.82030442274,valid,valid,0.099918184197973,0.099918184197973,0,1,0,Awake_immobile,-0.341707747878113,-0.384977839752227,952,-9.99181841979729,-0.528326637259725,-9.46349178253759,-418.269333742899,-0.476561001776309,-0.325273144450528,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,8,25,977,1028,977,987,561,20,20,0,0,0,4141.29777183601,4141.29777183601,valid,valid,0.053444134438125,0.053444134438125,0,1,0,Awake_immobile,-0.279041728343174,-0.309469852672945,979,-5.3444134438125,-0.401155894109599,-4.94325754970286,-204.715010731743,-0.151891525431395,-0.125379261389424,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,9,26,1031,1070,1038,1058,2540,20,20,0,0,0,4329.92232283465,4329.92232283465,valid,valid,0.146183424741294,0.146183424741294,0,1,0,Awake_immobile,-0.289081342769013,-0.335388710951311,1043,-14.6183424741294,-0.851378078431531,-13.7669643956979,-596.098862617072,-0.800911182296147,-0.600340687182041,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,10,27,1096,1121,1101,1112,1945,20,20,0,0,0,4095.43264781491,4095.43264781491,valid,valid,0.0786767100826408,0.0786767100826408,0,1,0,Awake_immobile,-0.229819652236237,-0.264309314170709,1106,-7.86767100826408,-0.982836517913559,-6.88483449035054,-281.963762276068,-0.414363985179803,-0.302466457822497,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,1,28,196,253,210,215,733,20,20,0,0,0,6049.09863574352,6049.09863574352,valid,valid,0.0864946381354596,0.0864946381354596,0,1,0,Awake_immobile,-0.643606663468536,-0.761101006610691,210,-8.64946381354596,2.47854382771574,-11.1280076412617,-673.144159526747,-1.31480645977553,-0.81510327056563,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,2,29,196,253,238,250,2255,20,20,0,0,0,5648.16314855876,5648.16314855876,valid,valid,0.0464148621549385,0.0464148621549385,0,1,0,Awake_immobile,-0.349818234814903,-0.396693581191241,240,-4.64148621549385,5.05965596860683,-9.70114218410068,-547.936334323249,-0.910646931712069,-0.579284486418578,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,3,30,276,370,304,308,536,20,20,0,0,0,6409.8302238806,6409.8302238806,valid,valid,0.119659955601078,0.119659955601078,0,1,0,Awake_immobile,-0.478485371478235,-0.559427992562497,331,-11.9659955601078,4.28623711100887,-16.2522326711167,-1041.74051645763,-1.1934133663434,-0.75964827506455,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,5,4,31,408,418,408,410,424,20,20,0,0,0,6505.67712264151,6505.67712264151,valid,valid,0.0593846716824358,0.0593846716824358,0,1,0,Awake_immobile,-0.318676580610515,-0.399082417092462,408,-5.93846716824358,0.347192746392304,-6.28565991463588,-408.924757241303,-0.676182768952233,-0.449751029965573,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
