Session,Role,Case,EventType,TruthRow,TruthStartFrame,TruthEndFrame,OverlappingRuns,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,CloseNativeRun,BaselineStatus,TimingResolved,TruthEligibleFraction
FB2411,fluorescence_control,control,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.63960396039604
FB2411,fluorescence_control,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.63960396039604
FB2411,fluorescence_control,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.63960396039604
FB2411,fluorescence_control,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.63960396039604
FB2411,fluorescence_control,control,surge,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.628547854785479
FB2411,fluorescence_control,smooth_pairs,sink,1,41,60,1,0.615186079427192,4,43,57,2,-3,NaN,1,insufficient_clean_prebaseline,1,1
FB2411,fluorescence_control,smooth_pairs,sink,2,66,85,1,0.588215544737284,5,69,82,3,-3,NaN,1,insufficient_clean_prebaseline,1,1
FB2411,fluorescence_control,smooth_pairs,sink,3,111,130,1,0.568726033233916,6,114,127,3,-3,0.142038004489377,0,valid,1,1
FB2411,fluorescence_control,smooth_pairs,sink,4,146,165,1,0.580743759551707,7,149,162,2,-3,NaN,0,insufficient_clean_prebaseline,1,1
FB2411,fluorescence_control,smooth_pairs,sink,5,196,215,1,0.600166597251145,8,199,213,2,-2,NaN,0,insufficient_clean_prebaseline,1,1
FB2411,fluorescence_control,smooth_pairs,sink,6,246,265,1,0.658840122791006,9,248,263,2,-2,NaN,0,insufficient_clean_prebaseline,1,1
FB2411,fluorescence_control,smooth_pairs,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,smooth_pairs,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,smooth_pairs,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,smooth_pairs,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,smooth_pairs,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,single_clean,sink,7,101,160,1,0.573439910251017,2,111,151,10,-9,NaN,0,insufficient_clean_prebaseline,0,1
FB2411,fluorescence_control,single_clean,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,single_noise,sink,7,101,160,1,0.528185151237397,2,115,151,14,-9,0.231755328913365,0,valid,0,1
FB2411,fluorescence_control,single_noise,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0
FB2411,fluorescence_control,moving_clean,sink,8,101,160,2,0.4765091391754,2,119,156,11,-4,NaN,0,insufficient_clean_prebaseline,0,0.990990099009901
FB2411,fluorescence_control,moving_clean,surge,8,101,160,1,0.0111878976865703,4,91,106,-10,-54,NaN,0,insufficient_clean_prebaseline,NaN,0.0375247524752475
FB2312-baseline-awake,BOI_reference,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,6,246,265,1,0.000117805056193012,135,247,249,0,-15,NaN,1,insufficient_clean_prebaseline,1,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.739015606242497
FB2312-baseline-awake,BOI_reference,control,sink,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.790544217687075
FB2312-baseline-awake,BOI_reference,control,surge,1,41,60,1,0.00693168313203181,18,37,46,-4,-14,NaN,0,insufficient_clean_prebaseline,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,6,246,265,2,0.0587478975287877,22,261,270,15,5,0.105147181539887,0,valid,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.857142857142857
FB2312-baseline-awake,BOI_reference,control,surge,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.761996798719488
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,1,41,60,1,0.189159663865546,48,47,54,3,-3,NaN,1,insufficient_clean_prebaseline,1,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,2,66,85,1,0.148607442977191,49,74,81,3,-2,NaN,1,insufficient_clean_prebaseline,1,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,3,111,130,1,0.181344537815126,50,116,125,3,-3,0.189090347983784,0,valid,1,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,4,146,165,1,0.197851140456182,51,150,159,3,-4,0.151156595987567,0,valid,1,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,5,196,215,1,0.12546218487395,52,203,210,2,-3,0.206181657979755,0,valid,1,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,sink,6,246,265,3,0.0898713382975407,54,254,259,8,-1,NaN,1,insufficient_clean_prebaseline,0,0.789915966386555
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,1,41,60,1,0.0761845392904772,17,37,47,-4,-13,NaN,0,insufficient_clean_prebaseline,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,2,66,85,1,0.458571520328859,18,71,81,5,-4,NaN,0,insufficient_clean_prebaseline,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,smooth_pairs,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.706602641056423
FB2312-baseline-awake,BOI_reference,single_clean,sink,7,101,160,1,0.202869147659064,143,118,141,8,-8,0.18791218323982,0,valid,1,0.786074429771909
FB2312-baseline-awake,BOI_reference,single_clean,surge,7,101,160,1,0.134747013352073,20,133,142,32,-18,0.0933209575288152,0,valid,NaN,0.777671068427371
FB2312-baseline-awake,BOI_reference,single_noise,sink,7,101,160,3,0.134901960784314,146,126,142,24,-18,NaN,1,insufficient_clean_prebaseline,0,0.793997599039616
FB2312-baseline-awake,BOI_reference,single_noise,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.765426170468187
FB2312-baseline-awake,BOI_reference,moving_clean,sink,8,101,160,2,0.176118447378952,165,115,136,11,-11,0.167490647389714,0,valid,1,0.820088035214086
FB2312-baseline-awake,BOI_reference,moving_clean,surge,8,101,160,2,0.183156867186229,22,128,141,27,-19,NaN,0,insufficient_clean_prebaseline,NaN,0.722380952380952
