RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,AmbiguousTrackingEvents,TrackingNotAssessedEvents,AmbiguousSiteAssignmentEvents,SiteAssignmentNotAssessedEvents,ShapeChangeLinkedEvents,ShapeChangeTrackingNotAssessedEvents,PotentialGapContinuationEvents,GapReviewNotAssessedEvents,Session,Case,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/moving_clean,surge,13,5,5,8,1,0.384615384615385,0.384615384615385,0,0,13,0,0,12,0,0,0,6,0,2,0,FB2411,moving_clean,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/control,sink,366,172,172,194,2,0.469945355191257,0.469945355191257,170,196,0,241,0,0,366,0,366,0,366,0,366,FB2312-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/control,surge,39,20,20,19,1,0.512820512820513,0.512820512820513,0,0,39,6,0,11,0,1,0,10,0,8,0,FB2312-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/smooth_pairs,sink,358,170,170,188,0,0.474860335195531,0.474860335195531,173,185,0,238,0,0,358,0,358,0,358,0,358,FB2312-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/smooth_pairs,surge,37,24,24,13,5,0.648648648648649,0.648648648648649,0,0,37,8,0,11,0,1,0,10,0,8,0,FB2312-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/single_clean,sink,306,151,151,155,1,0.493464052287582,0.493464052287582,143,163,0,199,0,0,306,0,306,0,306,0,306,FB2312-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/single_clean,surge,40,27,27,13,5,0.675,0.675,0,0,40,8,0,13,0,3,0,13,0,8,0,FB2312-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/single_noise,sink,302,149,149,153,0,0.493377483443709,0.493377483443709,140,162,0,194,0,0,302,0,302,0,302,0,302,FB2312-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/single_noise,surge,39,26,26,13,5,0.666666666666667,0.666666666666667,0,0,39,8,0,12,0,3,0,12,0,8,0,FB2312-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/moving_clean,sink,325,153,153,172,1,0.470769230769231,0.470769230769231,161,164,0,214,0,0,325,0,325,0,325,0,325,FB2312-baseline-awake,moving_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2312-baseline-awake/moving_clean,surge,42,24,24,18,5,0.571428571428571,0.571428571428571,0,0,42,6,0,13,0,1,0,12,0,12,0,FB2312-baseline-awake,moving_clean,BOI_reference
