Session,Kind,EventRow,StartFrame,BaselineStatus,TruncatedWindow,OwnEventOverlapFrames,OtherSameSignOverlapFrames,OppositeSignOverlapFrames,ReconstructedCleanFrames
M401-01-baseline-awake,Sink,1,1,insufficient_clean_prebaseline,1,0,0,0,0
M401-01-baseline-awake,Sink,2,118,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,3,223,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,4,1,insufficient_clean_prebaseline,1,0,0,0,0
M401-01-baseline-awake,Sink,5,1,insufficient_clean_prebaseline,1,0,0,0,0
M401-01-baseline-awake,Sink,6,1,insufficient_clean_prebaseline,1,0,0,0,0
M401-01-baseline-awake,Sink,7,252,insufficient_clean_prebaseline,0,0,3,0,17
M401-01-baseline-awake,Sink,8,342,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,9,377,insufficient_clean_prebaseline,0,0,10,0,10
M401-01-baseline-awake,Sink,10,519,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,11,2,insufficient_clean_prebaseline,1,0,1,0,0
M401-01-baseline-awake,Sink,12,193,insufficient_clean_prebaseline,0,0,5,0,15
M401-01-baseline-awake,Sink,13,241,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,14,402,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,15,591,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,16,8,insufficient_clean_prebaseline,1,0,0,0,7
M401-01-baseline-awake,Sink,17,141,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,18,205,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,19,241,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,20,411,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,21,571,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,22,4,insufficient_clean_prebaseline,1,0,0,0,3
M401-01-baseline-awake,Sink,23,208,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,24,449,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,25,496,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,26,329,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,27,592,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,28,16,insufficient_clean_prebaseline,1,0,0,0,15
M401-01-baseline-awake,Sink,29,38,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,30,249,insufficient_clean_prebaseline,0,0,3,0,17
M401-01-baseline-awake,Sink,31,286,insufficient_clean_prebaseline,0,0,1,0,19
M401-01-baseline-awake,Sink,32,325,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,33,580,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,34,250,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,35,377,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,36,423,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,37,242,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,38,493,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,39,26,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,40,29,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,41,32,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,42,255,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,43,578,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,44,56,insufficient_clean_prebaseline,0,0,2,0,18
M401-01-baseline-awake,Sink,45,220,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,46,157,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,47,179,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,48,333,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,49,61,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,50,76,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,51,103,insufficient_clean_prebaseline,0,0,2,0,18
M401-01-baseline-awake,Sink,52,326,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,53,455,insufficient_clean_prebaseline,0,0,4,0,16
M401-01-baseline-awake,Sink,54,328,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,55,81,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,56,106,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,57,154,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,58,341,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,59,451,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,60,513,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,61,81,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,62,152,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,63,341,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,64,472,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,65,516,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,66,572,insufficient_clean_prebaseline,0,0,6,0,14
M401-01-baseline-awake,Sink,67,82,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,68,99,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,69,92,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,70,217,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,71,105,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,72,125,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,73,135,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,74,135,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,75,148,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,76,487,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,77,481,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,78,533,valid,0,0,0,0,20
M401-01-baseline-awake,Sink,79,252,insufficient_clean_prebaseline,0,0,4,0,16
M401-01-baseline-awake,Sink,80,203,valid,0,0,0,0,20
