RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Session,Case
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,19,3,26,324,334,324,334,3463,20,20,0,0,0,104.686139185677,104.686139185677,valid,valid,0.0374478557662154,0.0374478557662154,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,19,4,27,534,543,534,543,3517,20,2,0,18,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,20,1,28,174,185,174,185,1022,20,20,0,0,0,40.5243639921722,40.5243639921722,valid,valid,0.126692888480028,0.126692888480028,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,20,2,29,446,456,446,456,1138,20,20,0,0,0,41.6981985940246,41.6981985940246,valid,valid,0.101184235620636,0.101184235620636,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,21,1,30,196,206,196,206,2389,20,20,0,0,0,66.7856215989954,66.7856215989954,valid,valid,0.0573180901261261,0.0573180901261261,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,22,1,31,209,219,209,219,4731,20,20,0,0,0,110.54504333122,110.54504333122,valid,valid,0.0576482929073408,0.0576482929073408,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,23,1,32,241,251,241,251,3278,20,20,0,0,0,101.136668700427,101.136668700427,valid,valid,0.0367361835874108,0.0367361835874108,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,24,1,33,241,254,241,254,2254,20,20,0,0,0,89.2307009760426,89.2307009760426,valid,valid,0.0562483219474357,0.0562483219474357,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,25,1,34,241,252,241,252,3164,20,20,0,0,0,75.1311788874842,75.1311788874842,valid,valid,0.0475146609354352,0.0475146609354352,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,26,1,35,242,253,242,253,3292,20,20,0,0,0,104.819152490887,104.819152490887,valid,valid,0.0275436791337505,0.0275436791337505,0,1,0,M400-01-baseline-awake,growing_clean
