Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
insufficient_improvement,NaN,56,1,61,-15.0212417225735,30,57,27,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,1,2,pulse,57,86,2,0,45,sine_squared,0.0154559016717184
insufficient_clean_context,NaN,NaN,182,189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,2,5,pulse,185,224,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,87,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,3,8,pulse,89,104,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,154,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,4,11,pulse,159,181,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,113,87,117,-18.4198984446379,107,113,6,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,5,14,pulse,113,128,60,0,2,sine_squared,0.405938340505368
insufficient_improvement,NaN,78,53,117,-16.662260723727,75,79,4,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,6,17,pulse,113,150,2,5,30,linear,0.0137039026527646
insufficient_improvement,NaN,140,120,184,-1.33607918313649,140,141,1,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,7,20,pulse,180,210,20,20,2,sine_squared,0.0269236120171634
insufficient_improvement,NaN,271,227,275,-19.6873068282784,247,271,24,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,8,23,pulse,271,282,2,0,5,sine_squared,0.0107236221707685
insufficient_improvement,NaN,307,270,334,-15.4220358966148,306,308,2,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,9,26,pulse,330,339,2,0,60,linear,0.0182590139580755
insufficient_improvement,NaN,388,361,425,-11.4438583921904,383,394,11,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,10,29,pulse,421,431,15,40,2,linear,0.0458869596556572
