Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
fixed,0.02,5,sine_squared,25,115,106,4,0,3,0,4,2,0.03773584905660377,0.0,0.0,-10.0,0.0,0.0,13.0,14.0
fixed,0.05,15,linear,10,115,108,18,12,18,12,18,3,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,1.5,23.3
fixed,0.05,15,linear,25,115,106,19,8,17,8,19,3,0.1792452830188679,0.07547169811320754,0.42105263157894735,-5.0,0.0,0.0,6.0,13.2
fixed,0.05,15,sine_squared,10,115,108,22,17,22,17,22,3,0.2037037037037037,0.1574074074074074,0.7727272727272727,1.5,7.926557169313235e-05,-0.008373308253506486,3.5,21.700000000000028
fixed,0.05,15,sine_squared,25,115,106,19,10,18,10,19,3,0.1792452830188679,0.09433962264150944,0.5263157894736842,-5.0,0.0,0.0,5.0,14.0
fixed,0.05,30,linear,10,115,108,12,7,12,7,12,3,0.1111111111111111,0.06481481481481481,0.5833333333333334,-2.5,0.0,0.0,5.0,22.1
fixed,0.05,30,linear,25,115,106,19,8,19,8,19,2,0.1792452830188679,0.07547169811320754,0.42105263157894735,-1.0,0.0,0.0,6.0,14.0
fixed,0.05,30,sine_squared,10,115,108,13,8,13,8,13,3,0.12037037037037036,0.07407407407407407,0.6153846153846154,0.0,0.0,0.0,5.0,21.200000000000006
fixed,0.05,30,sine_squared,25,115,106,19,9,19,9,19,2,0.1792452830188679,0.08490566037735849,0.47368421052631576,3.0,9.52659180271098e-05,-0.00999788325406481,6.0,14.0
fixed,0.05,5,linear,10,115,108,20,12,20,12,20,0,0.18518518518518517,0.1111111111111111,0.6,-5.0,0.0,0.0,5.0,22.200000000000003
fixed,0.05,5,linear,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-11.5,0.0,0.0,11.5,13.5
fixed,0.05,5,sine_squared,10,115,108,20,13,20,13,20,0,0.18518518518518517,0.12037037037037036,0.65,-5.0,0.0,0.0,5.0,22.200000000000003
fixed,0.05,5,sine_squared,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-11.5,0.0,0.0,11.5,13.5
fixed,0.1,15,linear,10,115,108,30,23,28,23,30,1,0.2777777777777778,0.21296296296296297,0.7666666666666667,0.0,0.0,0.0,2.0,8.0
fixed,0.1,15,linear,25,115,106,23,12,23,12,23,1,0.2169811320754717,0.11320754716981132,0.5217391304347826,-5.0,0.0,0.0,5.0,11.0
fixed,0.1,15,sine_squared,10,115,108,30,23,30,23,30,1,0.2777777777777778,0.21296296296296297,0.7666666666666667,2.0,0.0002683923260697885,-0.029576219934668302,2.5,7.100000000000001
fixed,0.1,15,sine_squared,25,115,106,23,15,23,15,23,2,0.2169811320754717,0.14150943396226415,0.6521739130434783,-5.0,0.0,0.0,5.0,10.8
fixed,0.1,30,linear,10,115,108,18,12,18,12,18,3,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,1.5,23.3
fixed,0.1,30,linear,25,115,106,26,16,24,16,26,0,0.24528301886792453,0.1509433962264151,0.6153846153846154,-1.0,0.0,0.0,3.5,13.0
fixed,0.1,30,sine_squared,10,115,108,16,11,16,11,16,3,0.14814814814814814,0.10185185185185185,0.6875,1.0,3.316578392842385e-05,-0.00355685615603951,4.5,16.5
fixed,0.1,30,sine_squared,25,115,106,25,14,25,14,25,0,0.2358490566037736,0.1320754716981132,0.56,3.0,0.000190585225719797,-0.0209539728626584,5.0,11.000000000000007
fixed,0.1,5,linear,10,115,108,30,23,29,23,30,0,0.2777777777777778,0.21296296296296297,0.7666666666666667,-4.0,0.0,0.0,4.0,8.0
fixed,0.1,5,linear,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-11.5,0.0,0.0,11.5,13.5
fixed,0.1,5,sine_squared,10,115,108,30,23,29,23,30,0,0.2777777777777778,0.21296296296296297,0.7666666666666667,-4.0,0.0,0.0,4.0,8.0
fixed,0.1,5,sine_squared,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-11.5,0.0,0.0,11.5,13.5
fixed,0.2,15,linear,10,115,108,32,27,29,27,32,1,0.2962962962962963,0.25,0.84375,0.0,0.0,0.0,1.0,6.900000000000002
fixed,0.2,15,linear,25,115,106,28,18,28,18,28,0,0.2641509433962264,0.16981132075471697,0.6428571428571429,-5.0,0.0,0.0,5.0,8.3
fixed,0.2,15,sine_squared,10,115,108,32,27,31,27,32,0,0.2962962962962963,0.25,0.84375,2.0,0.0005383433302215135,-0.06484795326652251,2.0,6.0
fixed,0.2,15,sine_squared,25,115,106,29,18,29,18,29,1,0.27358490566037735,0.16981132075471697,0.6206896551724138,-5.0,0.0,0.0,5.0,8.0
fixed,0.2,30,linear,10,115,108,30,23,28,23,30,1,0.2777777777777778,0.21296296296296297,0.7666666666666667,0.0,0.0,0.0,2.0,8.0
fixed,0.2,30,linear,25,115,106,31,21,26,21,31,0,0.29245283018867924,0.19811320754716982,0.6774193548387096,0.0,0.0,0.0,2.0,12.0
fixed,0.2,30,sine_squared,10,115,108,30,21,30,21,30,0,0.2777777777777778,0.19444444444444445,0.7,4.0,0.0007963072513865745,-0.09338527197200186,4.5,9.0
fixed,0.2,30,sine_squared,25,115,106,31,25,31,25,31,0,0.29245283018867924,0.2358490566037736,0.8064516129032258,3.0,0.000381170451439816,-0.0456915419901005,3.0,8.0
fixed,0.2,5,linear,10,115,108,32,28,32,28,32,0,0.2962962962962963,0.25925925925925924,0.875,-4.0,0.0,0.0,4.0,5.900000000000002
fixed,0.2,5,linear,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-12.0,0.0,0.0,12.0,13.6
fixed,0.2,5,sine_squared,10,115,108,32,28,32,28,32,0,0.2962962962962963,0.25925925925925924,0.875,-4.0,0.0,0.0,4.0,5.900000000000002
fixed,0.2,5,sine_squared,25,115,106,2,0,2,0,2,1,0.018867924528301886,0.0,0.0,-12.0,0.0,0.0,12.0,13.6
