Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame
insufficient_improvement,NaN,290,270,334,-6.28632586305666,290,330,40,-0.000214154327818033,0.000473779937403913,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,9,26,available,330,339
insufficient_improvement,NaN,384,361,425,-1.95620195088141,381,389,8,-0.000650485527736479,0.000911881990810345,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,10,29,fixed,421,431
insufficient_improvement,NaN,384,361,425,-1.95620195088141,381,389,8,-0.000650485527736479,0.000911881990810345,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,10,29,available,421,431
insufficient_improvement,NaN,498,476,540,-5.19973971437509,496,536,40,-0.000552079912960891,0.00047387898687875,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,11,32,fixed,536,545
insufficient_improvement,NaN,498,476,540,-5.19973971437509,496,536,40,-0.000552079912960891,0.00047387898687875,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,11,32,available,536,545
overlapping_detection_in_fit,NaN,NaN,509,573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,12,35,fixed,569,582
insufficient_clean_context,NaN,NaN,558,573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,12,35,available,569,582
recording_boundary_unresolved,NaN,NaN,-59,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,1,2,fixed,1,18
insufficient_clean_context,NaN,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,1,2,available,1,18
insufficient_improvement,NaN,166,144,208,7.15141782039554,164,179,15,-0.000489530127264054,0.000521893339787564,NaN,NaN,NaN,NaN,onset_unresolved,FB2312-baseline-awake,2,5,fixed,204,213
