Session,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
M401-01-baseline-awake,available,0.2,5,sine_squared,10,12,12,7,7,7,7,7,0,0.5833333333333334,0.5833333333333334,1.0,-4.0,0.0,0.0,4.0,5.0
M401-01-baseline-awake,available,0.2,5,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,15,linear,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,15,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,15,sine_squared,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,15,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,30,linear,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,30,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,30,sine_squared,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,30,sine_squared,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,5,linear,10,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
M401-01-baseline-awake,fixed,0.02,5,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
