Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,OnsetErrorSec,WithinFiveSec,PosthocCalibration
resolved,110,110,60,124,2382.12269954905,110,110,0,4.74139729233911e-18,0.00333333333333333,90,109,100,0.1,provisional_valid,available,0.1,30,linear,10,110,0,1,1
resolved,95,95,60,124,2443.74398163235,95,95,0,-9.51497349287927e-18,0.00333333333333334,75,94,100,0.1,provisional_valid,available,0.1,30,linear,25,95,0,1,1
resolved,114,114,60,124,312.873720753101,114,114,0,1.37196603334689e-05,0.00432651407766161,94,113,100.04068213249,0.0995526785225258,provisional_valid,available,0.1,30,sine_squared,10,110,4,1,1
resolved,98,98,60,124,245.718978811239,98,98,0,-8.60244151437277e-06,0.00412111051701659,78,97,100.019068496901,0.0997902865233002,provisional_valid,available,0.1,30,sine_squared,25,95,3,1,1
resolved,106,106,60,124,108.099144645741,105,107,2,3.11850311850152e-05,0.0135304737936317,86,105,100,0.2,provisional_valid,available,0.2,5,linear,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,27.8525542689569,118,120,2,0.00469567844309473,-0.0440806754221388,NaN,NaN,NaN,NaN,onset_unresolved,available,0.2,5,linear,25,95,NaN,0,1
resolved,106,106,60,124,100.60963462134,105,107,2,1.97078797687067e-05,0.0135870541365788,86,105,100,0.2,provisional_valid,available,0.2,5,sine_squared,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,28.4598976615174,119,120,1,0.00473067133991674,-0.0457861987846383,NaN,NaN,NaN,NaN,onset_unresolved,available,0.2,5,sine_squared,25,95,NaN,0,1
resolved,110,110,60,124,2562.34096649464,110,110,0,9.11661280842298e-18,0.0133333333333333,90,109,100,0.2,provisional_valid,available,0.2,15,linear,10,110,0,1,1
resolved,90,90,60,124,70.7748712927967,88,91,3,4.40399295360989e-05,0.00724263438003896,70,89,100,0.2,provisional_valid,available,0.2,15,linear,25,95,-5,1,1
resolved,112,112,60,124,289.342760556974,112,112,0,5.38814527902754e-05,0.0170449916994729,92,111,100.054153470812,0.199350510071597,provisional_valid,available,0.2,15,sine_squared,10,110,2,1,1
resolved,90,90,60,124,58.1692935404395,88,92,4,-6.07077060407964e-05,0.00738285211443554,70,89,100,0.2,provisional_valid,available,0.2,15,sine_squared,25,95,-5,1,1
resolved,110,110,60,124,2472.23183302185,110,110,0,7.27500267172417e-18,0.00666666666666665,90,109,100,0.2,provisional_valid,available,0.2,30,linear,10,110,0,1,1
resolved,95,95,60,124,2533.85311510514,95,95,0,1.01795761696658e-17,0.00666666666666667,75,94,100,0.2,provisional_valid,available,0.2,30,linear,25,95,0,1,1
resolved,114,114,60,124,312.873720753101,114,114,0,2.7439320666929e-05,0.00865302815532325,94,113,100.08136426498,0.199024422591627,provisional_valid,available,0.2,30,sine_squared,10,110,4,1,1
resolved,98,98,60,124,245.718978811239,98,98,0,-1.72048830287549e-05,0.00824222103403316,78,97,100.038136993801,0.199542530539483,provisional_valid,available,0.2,30,sine_squared,25,95,3,1,1
