Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,BaselineAboveOnePercent,NegativeRawAmplitude
FB2312-baseline-awake,37,development,selection,730,739,resolved,723,677,734,703,722,4989.68697351331,0.241108645036,provisional_valid,44.0853036739308,50.6944266468782,50.6944266468782,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,705,1,0,18,0,0.100173484625294,-11.7790117784171,0.0386060221586484,-4.79142678515501,18,0,0,0,NaN,1,0
FB2312-baseline-awake,38,development,selection,824,833,resolved,814,764,828,794,813,2659.47977815188,0.0949491746581206,provisional_valid,11.6225012525559,-2.2869549182509,11.6225012525559,rising,resolved,NaN,NaN,1,0.02,7,gamma,25,799,1,0,15,0,0.0130812634069275,-1.42255903100641,0.0121917530657782,-1.33493499570094,15,0,1,1,0,1,0
FB2312-baseline-awake,38,development,selection,824,833,resolved,814,764,828,794,813,2662.49713064428,0.0997456523305489,provisional_valid,13.3248734053412,-0.161370310992587,13.3248734053412,rising,resolved,NaN,NaN,1,0.02,7,exponential,25,799,1,0,15,0,0.0182399767016062,-1.98440254022905,0.0133401503327879,-1.46707723299193,15,0,1,1,0,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,936,878,942,916,935,5762.96036780252,0.0968329742221392,provisional_valid,10.4708023451316,-1.04168267171818,10.4708023451316,rising,resolved,NaN,NaN,1,0.1,7,exponential,10,928,1,0,8,0,0.0410697576672023,-4.49140839606679,0.0310984804147458,-3.41098387670944,8,0,0,0,NaN,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,936,878,942,916,935,5689.53234071614,0.110988492904063,provisional_valid,24.1594268666448,14.1133352976069,24.1594268666448,rising,resolved,NaN,NaN,2,0.1,7,quadratic,10,928,1,0,8,0,0.0278441399549278,-3.08423016741692,0.0179608701733813,-1.99543200851704,8,0,0,0,NaN,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,936,878,942,916,935,5677.55184309539,0.107576294381406,provisional_valid,15.6161980351566,3.43411045369799,15.6161980351566,rising,resolved,NaN,NaN,1,0.1,23,gamma,10,928,1,0,8,0,0.0231745831856593,-2.56537616122794,0.0158173411357048,-1.75189120820505,8,0,0,0,NaN,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,936,878,942,916,935,5682.66097830606,0.104427356952473,provisional_valid,14.2998970876957,2.15988014606069,14.2998970876957,rising,resolved,NaN,NaN,1,0.1,23,exponential,10,928,1,1,8,0,0.0241404720178446,-2.66458290548797,0.0167314583976215,-1.84786803760453,8,0,0,0,NaN,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,935,878,942,915,934,5766.73404825023,0.184427001483416,provisional_valid,56.74774946485,48.1403062084905,56.74774946485,rising,resolved,NaN,NaN,2,0.2,23,gamma,10,928,1,0,7,0,0.0463491663713189,-5.44951212209677,0.0254222696205133,-3.01108225775277,7,0,0,0,NaN,1,0
FB2312-baseline-awake,40,development,selection,938,947,resolved,935,878,942,915,934,5776.24337065026,0.17824058073619,provisional_valid,52.6116794648141,43.9851604122429,52.6116794648141,rising,resolved,NaN,NaN,2,0.2,23,exponential,10,928,1,1,7,0,0.0482809440356888,-5.64587979602469,0.0271131870230505,-3.1945857223648,7,0,0,0,NaN,1,0
ID13-20200917,64,additional,selection,743,753,resolved,734,702,747,714,733,11.4234624910709,0.164653849254817,provisional_valid,29.7448963332501,16.9641695617409,29.7448963332501,rising,resolved,NaN,NaN,2,0.1,23,quadratic,25,718,1,0,16,0,0.0501566605454389,-5.65479066594958,0.0139727955064324,-1.62734700714169,16,0,1,0,-7,1,0
ID13-20200917,64,additional,selection,743,753,resolved,723,702,747,703,722,11.3812442562651,0.078303701327207,provisional_valid,27.2053219726105,60.0194386440911,60.0194386440911,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,718,1,0,5,1,0.164566520025355,-15.4331795545795,0.0110580957192461,-1.19239855436934,5,0,1,0,-18,1,0
