Status,OnsetFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,SelectedModel,SelectedScore,RisingScore,PulseScore,RisingStatus,PulseStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,FitStartFrame,FitEndFrame,Session,EventRow
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,281,288,M400-01-baseline-awake,39
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,1.97368165302212,-14.4493093199509,insufficient_improvement,insufficient_improvement,NaN,NaN,0,254,305,M400-01-baseline-awake,40
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,3.69855078401523,-10.0228135515435,insufficient_improvement,insufficient_improvement,NaN,NaN,0,260,324,M400-01-baseline-awake,41
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-0.975509038541994,-13.714876707509,insufficient_improvement,insufficient_improvement,NaN,NaN,0,265,329,M400-01-baseline-awake,42
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,367,386,M400-01-baseline-awake,43
resolved,357,337,356,91.5259660883281,0.0468663867560983,provisional_valid,rising,71.2019336288661,71.2019336288661,59.6449271059303,resolved,resolved,NaN,NaN,2,330,394,M400-01-baseline-awake,44
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,28.0102747407397,7.78093169570749,not_a_rising_change,insufficient_improvement,NaN,NaN,0,355,419,M400-01-baseline-awake,45
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,431,436,M400-01-baseline-awake,46
best_model_unresolved,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,21.773987190844,28.5779366472178,21.773987190844,not_a_rising_change,search_boundary_unresolved,NaN,NaN,1,408,472,M400-01-baseline-awake,47
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,6.55497455592223,-6.17788062139293,insufficient_improvement,insufficient_improvement,NaN,NaN,0,475,539,M400-01-baseline-awake,48
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,4.3709109607506,-8.54327340123451,insufficient_improvement,insufficient_improvement,NaN,NaN,0,499,563,M400-01-baseline-awake,49
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,568,584,M400-01-baseline-awake,50
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-8.52690582287087,-20.3354803696553,insufficient_improvement,insufficient_improvement,NaN,NaN,0,530,594,M400-01-baseline-awake,51
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-3.68518893052842,-16.4075360836934,insufficient_improvement,insufficient_improvement,NaN,NaN,0,1,61,M401-01-baseline-awake,1
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,182,189,M401-01-baseline-awake,2
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,87,93,M401-01-baseline-awake,3
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,154,163,M401-01-baseline-awake,4
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-6.64325066499384,-19.8061928057578,insufficient_improvement,insufficient_improvement,NaN,NaN,0,87,117,M401-01-baseline-awake,5
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-4.66788892154646,-18.0485550848469,insufficient_improvement,insufficient_improvement,NaN,NaN,0,53,117,M401-01-baseline-awake,6
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,12.9794321038227,-2.72237354425638,not_a_rising_change,insufficient_improvement,NaN,NaN,0,120,184,M401-01-baseline-awake,7
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-8.7740135004543,-21.0736011893983,insufficient_improvement,insufficient_improvement,NaN,NaN,0,227,275,M401-01-baseline-awake,8
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-7.67262022417655,-16.8083302577347,insufficient_improvement,insufficient_improvement,NaN,NaN,0,270,334,M401-01-baseline-awake,9
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-3.3424963120013,-12.8301527533103,insufficient_improvement,insufficient_improvement,NaN,NaN,0,361,425,M401-01-baseline-awake,10
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-6.58603407549498,-10.977279285376,insufficient_improvement,insufficient_improvement,NaN,NaN,0,476,540,M401-01-baseline-awake,11
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,558,573,M401-01-baseline-awake,12
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,1,5,FB2312-baseline-awake,1
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,5.76512345927565,5.72227621710342,insufficient_improvement,insufficient_improvement,NaN,NaN,0,144,208,FB2312-baseline-awake,2
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,12.2970360636153,-13.9280154339578,not_a_rising_change,insufficient_improvement,NaN,NaN,0,342,406,FB2312-baseline-awake,3
