Cohort,Context,Shape,RiseFrames,DelayFrames,AmplitudeFraction,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
additional,selection,exponential,7,25,0.02,193,183,13,11,11,11,13,1,0.07103825136612021,0.060109289617486336,0.8461538461538461,-1.0,0.0,0.0,1.0,18.200000000000014
additional,selection,exponential,7,25,0.1,193,183,34,34,34,34,34,1,0.18579234972677597,0.18579234972677597,1.0,-1.0,0.0,0.0,1.0,3.0
additional,selection,exponential,7,25,0.2,193,183,37,37,36,36,37,1,0.20218579234972678,0.20218579234972678,1.0,-1.0,0.0,0.0,1.0,3.0
additional,selection,gamma,23,10,0.02,193,183,21,11,21,11,21,4,0.11475409836065574,0.060109289617486336,0.5238095238095238,0.0,0.0,0.0,5.0,8.0
additional,selection,gamma,23,10,0.1,193,183,44,40,44,40,44,3,0.24043715846994534,0.2185792349726776,0.9090909090909091,-1.5,0.0,0.0,2.0,5.0
additional,selection,gamma,23,10,0.2,193,183,55,54,55,54,55,1,0.3005464480874317,0.29508196721311475,0.9818181818181818,-1.0,0.0,0.0,1.0,4.0
additional,selection,gamma,23,25,0.02,193,183,16,9,13,9,16,3,0.08743169398907104,0.04918032786885246,0.5625,0.5,5.6603564949742e-05,-0.0063909210511137,3.5,21.5
additional,selection,gamma,23,25,0.1,193,183,30,22,28,22,30,2,0.16393442622950818,0.12021857923497267,0.7333333333333333,-2.0,0.0,0.0,2.0,14.0
additional,selection,gamma,23,25,0.2,193,183,37,33,36,33,37,0,0.20218579234972678,0.18032786885245902,0.8918918918918919,-2.0,0.0,0.0,2.0,6.199999999999996
additional,selection,gamma,7,10,0.02,193,183,21,14,21,14,21,2,0.11475409836065574,0.07650273224043716,0.6666666666666666,-2.0,0.0,0.0,4.0,10.0
additional,selection,gamma,7,10,0.1,193,183,47,43,47,43,47,1,0.2568306010928962,0.23497267759562843,0.9148936170212766,-1.0,0.0,0.0,1.0,4.0
additional,selection,gamma,7,10,0.2,193,183,55,54,55,54,55,0,0.3005464480874317,0.29508196721311475,0.9818181818181818,-1.0,0.0,0.0,1.0,3.0
additional,selection,gamma,7,25,0.02,193,183,13,7,10,7,13,2,0.07103825136612021,0.03825136612021858,0.5384615384615384,-1.0,0.0,0.0,2.0,20.600000000000005
additional,selection,gamma,7,25,0.1,193,183,35,33,35,33,35,1,0.1912568306010929,0.18032786885245902,0.9428571428571428,-1.0,0.0,0.0,1.0,3.0
additional,selection,gamma,7,25,0.2,193,183,38,36,38,36,38,1,0.20765027322404372,0.19672131147540983,0.9473684210526315,-1.0,0.0,0.0,1.0,3.0
additional,selection,quadratic,23,10,0.02,193,183,19,7,19,7,19,9,0.10382513661202186,0.03825136612021858,0.3684210526315789,2.0,9.40032167884297e-06,-0.000971047948694626,6.0,16.999999999999996
additional,selection,quadratic,23,10,0.1,193,183,32,18,32,18,32,8,0.17486338797814208,0.09836065573770492,0.5625,4.0,0.0002830781377212155,-0.032430223776924755,5.0,8.0
additional,selection,quadratic,23,10,0.2,193,183,47,22,47,22,47,6,0.2568306010928962,0.12021857923497267,0.46808510638297873,5.0,0.00105741573464635,-0.13748661170927,6.0,9.0
additional,selection,quadratic,23,25,0.02,193,183,21,6,21,6,21,5,0.11475409836065574,0.03278688524590164,0.2857142857142857,12.0,0.00122649679913667,-0.127226537061076,12.0,22.0
additional,selection,quadratic,23,25,0.1,193,183,44,12,38,12,44,1,0.24043715846994534,0.06557377049180328,0.2727272727272727,7.0,0.00132642707707076,-0.152333000651939,7.0,15.700000000000003
additional,selection,quadratic,23,25,0.2,193,183,49,9,40,9,49,1,0.2677595628415301,0.04918032786885246,0.1836734693877551,7.0,0.00265130124234791,-0.336524496822177,7.0,13.200000000000003
additional,selection,quadratic,7,10,0.02,193,183,25,17,25,17,25,5,0.1366120218579235,0.09289617486338798,0.68,0.0,0.0,0.0,4.0,7.600000000000001
additional,selection,quadratic,7,10,0.1,193,183,52,49,52,49,52,1,0.28415300546448086,0.2677595628415301,0.9423076923076923,0.0,0.0,0.0,2.0,3.0
additional,selection,quadratic,7,10,0.2,193,183,61,60,61,60,61,0,0.3333333333333333,0.32786885245901637,0.9836065573770492,2.0,0.000972940444860626,-0.12057288000602,2.0,3.0
additional,selection,quadratic,7,25,0.02,193,183,14,11,12,11,14,1,0.07650273224043716,0.060109289617486336,0.7857142857142857,2.0,0.0001014620090556975,-0.01013558304057695,2.0,19.60000000000001
additional,selection,quadratic,7,25,0.1,193,183,39,38,39,38,39,1,0.21311475409836064,0.20765027322404372,0.9743589743589743,2.0,0.000507504979696316,-0.0513990220830651,2.0,5.0
additional,selection,quadratic,7,25,0.2,193,183,43,43,41,41,43,1,0.23497267759562843,0.23497267759562843,1.0,2.0,0.00101519014900386,-0.104554922657374,2.0,3.0
development,pulse,exponential,23,10,0.02,115,108,11,10,11,10,11,2,0.10185185185185185,0.09259259259259259,0.9090909090909091,-3.0,0.0,0.0,3.0,5.0
development,pulse,exponential,23,10,0.1,115,108,38,31,37,31,38,1,0.35185185185185186,0.28703703703703703,0.8157894736842105,-2.0,0.0,0.0,3.0,8.900000000000013
development,pulse,exponential,23,10,0.2,115,108,48,41,45,40,48,0,0.4444444444444444,0.37962962962962965,0.8541666666666666,-1.5,0.0,0.0,3.0,7.0
development,pulse,exponential,23,25,0.02,115,106,12,7,12,7,12,1,0.11320754716981132,0.0660377358490566,0.5833333333333334,-4.5,0.0,0.0,5.0,11.700000000000001
development,pulse,exponential,23,25,0.1,115,106,30,23,29,23,30,0,0.2830188679245283,0.2169811320754717,0.7666666666666667,-3.0,0.0,0.0,3.0,9.0
development,pulse,exponential,23,25,0.2,115,106,37,31,37,31,37,0,0.3490566037735849,0.29245283018867924,0.8378378378378378,-3.0,0.0,0.0,3.0,8.399999999999999
development,pulse,exponential,7,10,0.02,115,108,14,11,14,11,14,1,0.12962962962962962,0.10185185185185185,0.7857142857142857,-2.5,0.0,0.0,2.5,7.400000000000002
development,pulse,exponential,7,10,0.1,115,108,42,35,41,35,42,0,0.3888888888888889,0.32407407407407407,0.8333333333333334,-1.0,0.0,0.0,1.0,7.899999999999999
development,pulse,exponential,7,10,0.2,115,108,48,43,47,42,48,0,0.4444444444444444,0.39814814814814814,0.8958333333333334,-1.0,0.0,0.0,1.0,5.300000000000004
development,pulse,exponential,7,25,0.02,115,106,16,11,16,11,16,1,0.1509433962264151,0.10377358490566038,0.6875,-3.0,0.0,0.0,3.0,11.0
development,pulse,exponential,7,25,0.1,115,106,39,36,39,36,39,0,0.36792452830188677,0.33962264150943394,0.9230769230769231,-1.0,0.0,0.0,1.0,4.0
development,pulse,exponential,7,25,0.2,115,106,44,41,43,41,44,1,0.41509433962264153,0.3867924528301887,0.9318181818181818,-1.0,0.0,0.0,1.0,3.700000000000003
development,pulse,gamma,23,10,0.02,115,108,11,10,11,10,11,2,0.10185185185185185,0.09259259259259259,0.9090909090909091,-3.0,0.0,0.0,3.0,5.0
development,pulse,gamma,23,10,0.1,115,108,38,30,38,30,38,1,0.35185185185185186,0.2777777777777778,0.7894736842105263,-1.0,0.0,0.0,3.0,8.200000000000017
development,pulse,gamma,23,10,0.2,115,108,47,41,44,39,47,0,0.4351851851851852,0.37962962962962965,0.8723404255319149,-1.0,0.0,0.0,3.0,7.0
development,pulse,gamma,23,25,0.02,115,106,12,7,12,7,12,1,0.11320754716981132,0.0660377358490566,0.5833333333333334,-4.0,0.0,0.0,4.5,11.700000000000001
development,pulse,gamma,23,25,0.1,115,106,31,25,30,25,31,0,0.29245283018867924,0.2358490566037736,0.8064516129032258,-3.0,0.0,0.0,3.0,7.0
development,pulse,gamma,23,25,0.2,115,106,38,31,38,31,38,0,0.3584905660377358,0.29245283018867924,0.8157894736842105,-2.5,0.0,0.0,2.5,8.0
development,pulse,gamma,7,10,0.02,115,108,15,11,15,11,15,1,0.1388888888888889,0.10185185185185185,0.7333333333333333,-2.0,0.0,0.0,2.0,7.6
development,pulse,gamma,7,10,0.1,115,108,41,35,40,35,41,0,0.37962962962962965,0.32407407407407407,0.8536585365853658,-1.0,0.0,0.0,1.0,6.0
development,pulse,gamma,7,10,0.2,115,108,49,45,48,44,49,0,0.4537037037037037,0.4166666666666667,0.9183673469387755,-1.0,0.0,0.0,1.0,4.0
development,pulse,gamma,7,25,0.02,115,106,13,9,13,9,13,0,0.12264150943396226,0.08490566037735849,0.6923076923076923,-1.0,0.0,0.0,1.0,9.8
development,pulse,gamma,7,25,0.1,115,106,37,35,37,35,37,0,0.3490566037735849,0.330188679245283,0.9459459459459459,-1.0,0.0,0.0,1.0,3.3999999999999986
development,pulse,gamma,7,25,0.2,115,106,43,41,43,41,43,0,0.4056603773584906,0.3867924528301887,0.9534883720930233,-1.0,0.0,0.0,1.0,3.0
development,pulse,quadratic,23,10,0.02,115,108,10,6,10,6,10,3,0.09259259259259259,0.05555555555555555,0.6,-1.5,0.0,0.0,4.5,23.4
development,pulse,quadratic,23,10,0.1,115,108,14,10,14,10,14,1,0.12962962962962962,0.09259259259259259,0.7142857142857143,0.0,0.0,0.0,3.0,16.00000000000001
development,pulse,quadratic,23,10,0.2,115,108,29,20,29,20,29,1,0.26851851851851855,0.18518518518518517,0.6896551724137931,1.0,1.90335169090172e-05,-0.00243365501992887,4.0,9.0
development,pulse,quadratic,23,25,0.02,115,106,13,0,13,0,13,2,0.12264150943396226,0.0,0.0,8.0,0.000385497679958213,-0.0393070716391497,8.0,11.8
development,pulse,quadratic,23,25,0.1,115,106,31,7,29,7,31,1,0.29245283018867924,0.0660377358490566,0.22580645161290322,8.0,0.00192197591742937,-0.211331604194198,8.0,13.0
development,pulse,quadratic,23,25,0.2,115,106,39,8,35,8,39,0,0.36792452830188677,0.07547169811320754,0.20512820512820512,8.0,0.00385362779065823,-0.460750009853816,8.0,13.200000000000003
development,pulse,quadratic,7,10,0.02,115,108,15,13,15,13,15,1,0.1388888888888889,0.12037037037037036,0.8666666666666667,0.0,0.0,0.0,3.0,6.799999999999999
development,pulse,quadratic,7,10,0.1,115,108,45,37,44,37,45,0,0.4166666666666667,0.3425925925925926,0.8222222222222222,2.0,0.000510172331448233,-0.0562548753612502,2.0,7.0
development,pulse,quadratic,7,10,0.2,115,108,50,45,47,44,50,0,0.46296296296296297,0.4166666666666667,0.9,2.0,0.00101110926377135,-0.122352898968003,2.0,5.100000000000001
development,pulse,quadratic,7,25,0.02,115,106,16,12,16,12,16,0,0.1509433962264151,0.11320754716981132,0.75,1.0,2.03786902638337e-05,-0.0020424743805980148,2.0,8.5
development,pulse,quadratic,7,25,0.1,115,106,41,37,41,37,41,0,0.3867924528301887,0.3490566037735849,0.9024390243902439,2.0,0.000499082985582433,-0.0517763140509775,2.0,5.0
development,pulse,quadratic,7,25,0.2,115,106,45,42,43,41,45,0,0.42452830188679247,0.39622641509433965,0.9333333333333333,2.0,0.00100626272440052,-0.105343225055687,2.0,4.200000000000003
development,rising,exponential,23,10,0.02,115,108,19,9,19,9,19,5,0.17592592592592593,0.08333333333333333,0.47368421052631576,-5.0,0.0,0.0,7.0,18.199999999999996
development,rising,exponential,23,10,0.1,115,108,45,36,42,36,45,0,0.4166666666666667,0.3333333333333333,0.8,-2.0,0.0,0.0,3.0,8.0
development,rising,exponential,23,10,0.2,115,108,48,42,45,41,48,0,0.4444444444444444,0.3888888888888889,0.875,-2.0,0.0,0.0,2.0,6.0
development,rising,exponential,23,25,0.02,115,106,15,4,14,4,15,3,0.14150943396226415,0.03773584905660377,0.26666666666666666,-7.0,0.0,0.0,8.0,14.0
development,rising,exponential,23,25,0.1,115,106,30,10,30,10,30,1,0.2830188679245283,0.09433962264150944,0.3333333333333333,-7.0,0.0,0.0,7.0,12.100000000000001
development,rising,exponential,23,25,0.2,115,106,36,11,36,11,36,1,0.33962264150943394,0.10377358490566038,0.3055555555555556,-7.0,0.0,0.0,7.0,10.0
development,rising,exponential,7,10,0.02,115,108,20,7,20,7,20,4,0.18518518518518517,0.06481481481481481,0.35,-6.5,0.0,0.0,7.5,17.60000000000001
development,rising,exponential,7,10,0.1,115,108,44,29,42,28,44,0,0.4074074074074074,0.26851851851851855,0.6590909090909091,-5.0,0.0,0.0,5.0,8.700000000000003
development,rising,exponential,7,10,0.2,115,108,48,37,48,37,48,0,0.4444444444444444,0.3425925925925926,0.7708333333333334,-5.0,0.0,0.0,5.0,7.0
development,rising,exponential,7,25,0.02,115,106,6,1,5,1,6,3,0.05660377358490566,0.009433962264150943,0.16666666666666666,-9.0,0.0,0.0,11.5,14.5
development,rising,exponential,7,25,0.1,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-9.0,0.0,0.0,9.0,13.0
development,rising,exponential,7,25,0.2,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-10.0,0.0,0.0,10.0,13.2
development,rising,gamma,23,10,0.02,115,108,18,9,18,9,18,5,0.16666666666666666,0.08333333333333333,0.5,-3.5,0.0,0.0,5.5,18.800000000000004
development,rising,gamma,23,10,0.1,115,108,45,36,42,36,45,0,0.4166666666666667,0.3333333333333333,0.8,-2.0,0.0,0.0,2.0,8.0
development,rising,gamma,23,10,0.2,115,108,49,43,47,43,49,0,0.4537037037037037,0.39814814814814814,0.8775510204081632,-2.0,0.0,0.0,2.0,6.0
development,rising,gamma,23,25,0.02,115,106,14,4,14,4,14,2,0.1320754716981132,0.03773584905660377,0.2857142857142857,-7.0,0.0,0.0,8.0,13.400000000000002
development,rising,gamma,23,25,0.1,115,106,30,10,30,10,30,1,0.2830188679245283,0.09433962264150944,0.3333333333333333,-7.0,0.0,0.0,7.0,12.100000000000001
development,rising,gamma,23,25,0.2,115,106,36,11,36,11,36,1,0.33962264150943394,0.10377358490566038,0.3055555555555556,-7.0,0.0,0.0,7.0,10.0
development,rising,gamma,7,10,0.02,115,108,18,2,18,2,18,3,0.16666666666666666,0.018518518518518517,0.1111111111111111,-7.0,0.0,0.0,7.0,18.800000000000004
development,rising,gamma,7,10,0.1,115,108,36,9,36,9,36,0,0.3333333333333333,0.08333333333333333,0.25,-6.0,0.0,0.0,6.0,10.5
development,rising,gamma,7,10,0.2,115,108,48,13,48,13,48,0,0.4444444444444444,0.12037037037037036,0.2708333333333333,-6.0,0.0,0.0,6.0,8.300000000000004
development,rising,gamma,7,25,0.02,115,106,6,1,4,1,6,3,0.05660377358490566,0.009433962264150943,0.16666666666666666,-5.0,0.0,0.0,13.5,19.0
development,rising,gamma,7,25,0.1,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-10.0,0.0,0.0,10.0,13.2
development,rising,gamma,7,25,0.2,115,106,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,rising,quadratic,23,10,0.02,115,108,14,2,14,2,14,6,0.12962962962962962,0.018518518518518517,0.14285714285714285,-4.0,0.0,0.0,8.5,21.500000000000007
development,rising,quadratic,23,10,0.1,115,108,25,17,25,17,25,4,0.23148148148148148,0.1574074074074074,0.68,3.0,0.000129631645189532,-0.0141291154320822,5.0,10.600000000000001
development,rising,quadratic,23,10,0.2,115,108,45,27,45,27,45,1,0.4166666666666667,0.25,0.6,5.0,0.0010301054798556,-0.120455878116021,5.0,9.0
development,rising,quadratic,23,25,0.02,115,106,22,11,22,11,22,4,0.20754716981132076,0.10377358490566038,0.5,5.0,0.0001039604552135475,-0.0106050492154175,5.5,14.0
development,rising,quadratic,23,25,0.1,115,106,39,21,35,21,39,0,0.36792452830188677,0.19811320754716982,0.5384615384615384,5.0,0.000519844595273433,-0.0571520210212118,5.0,13.400000000000006
development,rising,quadratic,23,25,0.2,115,106,47,24,43,24,47,0,0.44339622641509435,0.22641509433962265,0.5106382978723404,5.0,0.00105615229109679,-0.128156673111679,5.0,11.799999999999997
development,rising,quadratic,7,10,0.02,115,108,21,11,21,11,21,4,0.19444444444444445,0.10185185185185185,0.5238095238095238,-5.0,0.0,0.0,5.0,17.0
