Session,Case,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
M400-01-baseline-awake,control,positive_raw_change_provisional,1,1,0.0468165266387879,0.0468165266387879,337,356,91.4719984356668,391,95.7543996871334,95.4612436448964,87.4827532264372,-0.0872233093723265,0.00307094304498579,0.0945517391214938,1,positive_raw_change_provisional,1,1,0.0468165266387879,0.0468165266387879,391,95.7543996871334,33,0,0,0,0,43,resolved,rising,357,70.9477985900228,59.3071652507782,70.9477985900228,330,394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,44,no_model_evidence,none,NaN,28.0002565415441,7.73548156489618,NaN,355,419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,45,insufficient_clean_context,none,NaN,NaN,NaN,NaN,431,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,46,best_model_unresolved,none,NaN,28.4868349602925,21.7827988567172,21.7827988567172,408,472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,47,no_model_evidence,none,NaN,6.52250842006867,-6.22207566961408,NaN,475,539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,48,no_model_evidence,none,NaN,4.3709109607506,-8.54327340123451,NaN,499,563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,49,insufficient_clean_context,none,NaN,NaN,NaN,NaN,568,584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,50,no_model_evidence,none,NaN,-8.46806862153765,-20.2315964618247,NaN,530,594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,2,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,3,insufficient_clean_context,none,NaN,NaN,NaN,NaN,52,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,4,insufficient_clean_context,none,NaN,NaN,NaN,NaN,40,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,positive_raw_change_provisional,1,1,0.18243942953344,0.18243942953344,25,44,47.3288148148148,73,55.9634567901235,47.4757530864198,47.1818765432099,-0.00620925210909559,0.178779759180515,0.186121894470884,1,positive_raw_change_provisional,1,1,0.198622508043282,0.198622508043282,58,56.7293827160494,14,0,0,1,0.0161830785098422,5,resolved,pulse,45,31.8242458437523,50.6273147337364,50.6273147337364,1,63,0,0,0.198622508043282,0,0,0,0,0,0
M400-01-baseline-awake,challenge,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,6,no_model_evidence,none,NaN,-1.13465570978545,-0.861994854581571,NaN,1,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
