Session,Component,EventIndex,Frame,Source,Observed,PreNativeBlocked,NativeStart,NativeEnd,TruthStart,Onset,ReferenceMean
M400-01-baseline-awake,1,11,125,124.92931162102147,126.21724648408586,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,126,126.0481125092524,127.00740192450037,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,127,127.2022575869726,127.86935603256846,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,128,126.44411547002221,126.87231680236862,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,129,126.58271650629163,126.81846780162843,0,104,124,101,NaN,NaN
M400-01-baseline-awake,2,28,150,132.1456603773585,132.1456603773585,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,151,130.84830188679246,130.84830188679246,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,152,131.86188679245282,131.86188679245282,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,153,130.6479245283019,130.6479245283019,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,154,131.9464150943396,131.9464150943396,0,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,155,130.8777358490566,130.8777358490566,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,156,127.07358490566038,127.07358490566038,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,157,127.94792452830188,127.94792452830188,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,158,130.99207547169812,130.99207547169812,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,159,129.23283018867926,129.23283018867926,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,160,129.87471698113208,129.87471698113208,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,161,128.72264150943397,128.72264150943397,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,162,130.43735849056603,130.43735849056603,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,163,130.08150943396225,130.08150943396225,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,164,128.43358490566038,128.43358490566038,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,165,131.16867924528302,131.16867924528302,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,166,130.1766037735849,130.1766037735849,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,167,130.59849056603773,130.59849056603773,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,168,129.82792452830188,129.82792452830188,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,169,130.4011320754717,130.4011320754717,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,170,130.23962264150944,130.23962264150944,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,171,128.7109433962264,128.7109433962264,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,172,130.6056603773585,130.6056603773585,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,173,131.24226415094338,131.24226415094338,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,174,128.08301886792452,128.08301886792452,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,175,127.70716981132075,127.70716981132075,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,176,130.18301886792452,130.18301886792452,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,177,127.59169811320754,127.59169811320754,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,178,128.13924528301888,128.13924528301888,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,179,130.0701886792453,130.0701886792453,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,180,128.7822641509434,128.7822641509434,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,181,129.86830188679247,129.86830188679247,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,182,131.03811320754718,131.03811320754718,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,183,130.48528301886793,130.48528301886793,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,184,130.59735849056605,130.59735849056605,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,185,129.22943396226415,129.22943396226415,1,215,226,201,NaN,NaN
M400-01-baseline-awake,2,28,186,129.48377358490566,129.48377358490566,1,215,226,201,NaN,NaN
