RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,Session,Case,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/smooth_pairs,sink,123,55,55,68,0,0.447154471544715,0.447154471544715,58,65,0,66,0,M401-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/smooth_pairs,surge,12,2,2,10,0,0.166666666666667,0.166666666666667,0,0,12,5,0,M401-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/single_clean,sink,120,60,60,60,1,0.5,0.5,50,70,0,64,0,M401-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/single_clean,surge,6,2,2,4,0,0.333333333333333,0.333333333333333,0,0,6,5,0,M401-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/single_noise,sink,119,60,60,59,0,0.504201680672269,0.504201680672269,50,69,0,64,0,M401-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/single_noise,surge,4,3,3,1,0,0.75,0.75,0,0,4,0,0,M401-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/control,sink,34,23,23,11,0,0.676470588235294,0.676470588235294,19,15,0,17,0,FB2411,control,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/control,surge,1,0,0,1,0,0,0,0,0,1,0,0,FB2411,control,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/smooth_pairs,sink,11,3,3,8,0,0.272727272727273,0.272727272727273,7,4,0,4,0,FB2411,smooth_pairs,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/smooth_pairs,surge,8,0,0,8,0,0,0,0,0,8,4,0,FB2411,smooth_pairs,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/single_clean,sink,12,7,7,5,0,0.583333333333333,0.583333333333333,5,7,0,4,0,FB2411,single_clean,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/single_clean,surge,7,1,1,6,0,0.142857142857143,0.142857142857143,0,0,7,4,0,FB2411,single_clean,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/single_noise,sink,13,8,8,5,1,0.615384615384615,0.615384615384615,5,8,0,6,0,FB2411,single_noise,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/FB2411/single_noise,surge,6,1,1,5,0,0.166666666666667,0.166666666666667,0,0,6,2,0,FB2411,single_noise,fluorescence_control
