Session,Case,Frame,RecipePeak1Parent,RecipePeak2Parent,SupportState,Outcome,PreviousCandidates,MinimumPreviousHistoryFrames,MarkerDistanceUm,SaddleDropFraction
M400-01-baseline-awake,approach_pair,131,2,2,recipe_peaks_in_one_native_candidate,insufficient_saddle_drop,2,14,133,0.159759584791931
M400-01-baseline-awake,approach_pair,132,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,133,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,134,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,135,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,136,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,137,9,9,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,138,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,139,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,140,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,141,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,142,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,143,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,144,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,145,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,6,390.83004618376,0.962307476198369
M400-01-baseline-awake,approach_pair,146,3,3,recipe_peaks_in_one_native_candidate,insufficient_history,2,1,NaN,NaN
M400-01-baseline-awake,approach_pair,147,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,148,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,149,2,2,recipe_peaks_in_one_native_candidate,insufficient_history,2,2,NaN,NaN
M400-01-baseline-awake,approach_pair,150,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,151,2,2,recipe_peaks_in_one_native_candidate,insufficient_history,2,1,NaN,NaN
M400-01-baseline-awake,approach_pair,152,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,153,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,154,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,3,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,155,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,156,6,6,recipe_peaks_in_one_native_candidate,insufficient_history,2,1,NaN,NaN
M400-01-baseline-awake,approach_pair,157,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,158,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,159,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,160,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,161,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,162,4,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,163,1,2,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,164,2,3,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,165,3,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,166,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,167,2,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,168,1,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,169,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,170,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,171,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,172,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,173,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,174,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,175,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,176,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,177,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,178,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,179,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,180,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,101,0,8,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,102,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,103,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,crossing_pair,104,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
