RecipeSource,AssignedCandidateRunID,RecipeMassCoverage,RecipeContributionFraction,AllRetainedRecipeMassCoverage,RunsCoveringAtLeastTenPercent,NativeStartFrame,NativeEndFrame,PartitionFrames,PostPartitionContact,Session,Case,Method,Recipe
2,150,0.256594263551459,0.555903488292664,0.534200890131541,2,144,157,0,1,FB2312-baseline-awake,approach_pair,native,approach_pair
1,134,0.337701021734235,0.502635393144062,0.584446533886397,2,126,143,0,1,FB2312-baseline-awake,approach_pair,partition,approach_pair
2,150,0.256594263551459,0.555903488292664,0.534200890131541,2,144,157,0,1,FB2312-baseline-awake,approach_pair,partition,approach_pair
1,145,0.393394797133786,0.606695339779958,0.579776947081279,2,138,157,0,1,FB2312-baseline-awake,crossing_pair,native,crossing_pair
2,136,0.228885458324826,0.492670543733645,0.551388943001099,2,126,136,0,1,FB2312-baseline-awake,crossing_pair,native,crossing_pair
1,145,0.393394797133786,0.606695339779958,0.579776947081279,2,138,157,0,1,FB2312-baseline-awake,crossing_pair,partition,crossing_pair
2,136,0.228885458324826,0.492670543733645,0.551388943001099,2,126,136,0,1,FB2312-baseline-awake,crossing_pair,partition,crossing_pair
1,129,0.311073151458657,1,0.582291500742108,2,127,140,0,1,FB2312-baseline-awake,single_expanding,native,single_expanding
1,129,0.311073151458657,1,0.582291500742108,2,127,140,0,1,FB2312-baseline-awake,single_expanding,partition,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,native,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,source_control,partition,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,separate_pair,native,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,separate_pair,native,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,separate_pair,partition,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,separate_pair,partition,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,approach_pair,native,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,approach_pair,native,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,approach_pair,partition,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,approach_pair,partition,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,crossing_pair,native,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,crossing_pair,native,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,crossing_pair,partition,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,crossing_pair,partition,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,single_expanding,native,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2411,single_expanding,partition,single_expanding
